Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00194549560546875,3.743171691894531e-05,0.00254058837890625,0.007415771484375,0.0001348257064819336,0.0033931732177734375,8.702278137207031e-06,0.0012540817260742188,1.150369644165039e-05,0.048797607421875,0.045806884765625,-2.4437904357910156e-06,-1.1205673217773438e-05,0.00533294677734375,0.00537109375,0.0053558349609375,0.004608154296875,0.00015842914581298828,0.0011358261108398438,-3.0994415283203125e-06,0.0002428293228149414,0.0004296302795410156,0.0007371902465820312,0.05072021484375,0.049407958984375,0.01194000244140625,0.012054443359375,0.036041259765625,0.0360107421875,0.0034084320068359375,4.500150680541992e-05,2.777576446533203e-05,-8.64267349243164e-05,0.01904296875,0.023590087890625,0.01221466064453125,0.01358795166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,5.960464477539063e-08,-3.5762786865234375e-07,-2.384185791015625e-07,20.015625,0.0028324127197265625,0.002635955810546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00412750244140625,7.474422454833984e-05,0.005298614501953125,0.0165863037109375,0.0002942085266113281,0.007373809814453125,-7.569789886474609e-06,0.0026111602783203125,6.794929504394531e-05,0.096923828125,0.090576171875,-4.887580871582031e-06,-2.0742416381835938e-05,0.01088714599609375,0.01088714599609375,0.0126800537109375,0.01076507568359375,0.0004050731658935547,0.0022640228271484375,-8.344650268554688e-06,0.0006365776062011719,0.000873565673828125,0.001495361328125,0.1033935546875,0.10076904296875,0.0233154296875,0.023529052734375,0.0693359375,0.0692138671875,0.00806427001953125,7.236003875732422e-05,5.358457565307617e-05,-0.00016355514526367188,0.03802490234375,0.046722412109375,0.02276611328125,0.025360107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3113021850585938e-06,0.0,-3.039836883544922e-06,-7.152557373046875e-07,40.03125,0.004589080810546875,0.00390625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006549835205078125,0.00011217594146728516,0.0083160400390625,0.0280303955078125,0.0009107589721679688,0.011932373046875,-1.0132789611816406e-06,0.003917694091796875,4.220008850097656e-05,0.14404296875,0.1346435546875,-4.351139068603516e-06,-1.9431114196777344e-05,0.0172576904296875,0.0173187255859375,0.021697998046875,0.019317626953125,0.00069427490234375,0.003566741943359375,3.504753112792969e-05,0.0013513565063476562,0.0012540817260742188,0.0021762847900390625,0.1580810546875,0.154052734375,0.034271240234375,0.034576416015625,0.1004638671875,0.100341796875,0.0124664306640625,0.00014662742614746094,9.506940841674805e-05,-0.00032067298889160156,0.056884765625,0.0699462890625,0.031829833984375,0.035675048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.887580871582031e-06,0.0,-2.2649765014648438e-06,-1.0728836059570312e-06,60.0,0.0023441314697265625,0.00820159912109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00937652587890625,0.0001494884490966797,0.011383056640625,0.040985107421875,0.0004773139953613281,0.017333984375,-6.091594696044922e-05,0.0054931640625,8.165836334228516e-05,0.1903076171875,0.1781005859375,-1.4603137969970703e-05,-4.786252975463867e-05,0.023468017578125,0.0234832763671875,0.031158447265625,0.027923583984375,0.0013608932495117188,0.00479888916015625,2.5987625122070312e-05,0.0016536712646484375,0.0016984939575195312,0.0029392242431640625,0.2152099609375,0.210205078125,0.044830322265625,0.045623779296875,0.130859375,0.1307373046875,0.018310546875,0.00018775463104248047,0.00012671947479248047,-0.0003676414489746094,0.0750732421875,0.09246826171875,0.03936767578125,0.044677734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-7.748603820800781e-07,0.0,-1.1324882507324219e-06,80.0,0.013671875,0.00937652587890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125274658203125,0.00018680095672607422,0.01488494873046875,0.054595947265625,0.00104522705078125,0.0223236083984375,-7.367134094238281e-05,0.0070037841796875,5.143880844116211e-05,0.236572265625,0.220947265625,-1.33514404296875e-05,-3.3915042877197266e-05,0.030364990234375,0.030426025390625,0.041412353515625,0.03887939453125,0.0017843246459960938,0.00617218017578125,-3.463029861450195e-05,0.0013895034790039062,0.0019006729125976562,0.00342559814453125,0.274169921875,0.2685546875,0.055419921875,0.056549072265625,0.162353515625,0.1619873046875,0.0240631103515625,0.00023472309112548828,0.0002071857452392578,-0.0005908012390136719,0.093017578125,0.11468505859375,0.046875,0.05352783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.3113021850585938e-06,0.0,-2.1457672119140625e-06,100.0,0.021728515625,0.00830078125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128021240234375,0.000186920166015625,0.01568603515625,0.061492919921875,0.0005583763122558594,0.02496337890625,-8.83340835571289e-05,0.00690460205078125,0.00010454654693603516,0.231689453125,0.2166748046875,-2.4437904357910156e-05,-5.0067901611328125e-05,0.03082275390625,0.030853271484375,0.04425048828125,0.0426025390625,0.00264739990234375,0.006244659423828125,3.814697265625e-06,0.0008935928344726562,0.0018930435180664062,0.0034236907958984375,0.283447265625,0.2783203125,0.05523681640625,0.056732177734375,0.1602783203125,0.16015625,0.02679443359375,0.0002053976058959961,0.00012421607971191406,-0.0005016326904296875,0.0909423828125,0.11236572265625,0.04351806640625,0.0506591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.1920928955078125e-07,9.5367431640625e-06,-1.9073486328125e-06,100.0,0.0126953125,0.01025390625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132293701171875,0.000186920166015625,0.0160980224609375,0.06585693359375,0.0009584426879882812,0.02606201171875,-0.00011032819747924805,0.007049560546875,8.499622344970703e-05,0.23046875,0.2158203125,-3.224611282348633e-05,-4.029273986816406e-05,0.031829833984375,0.0318603515625,0.047454833984375,0.047119140625,0.0028133392333984375,0.006378173828125,1.3589859008789062e-05,0.0010280609130859375,0.0018320083618164062,0.00335693359375,0.2900390625,0.284912109375,0.055755615234375,0.0572509765625,0.160888671875,0.1607666015625,0.02862548828125,0.00027370452880859375,0.00021207332611083984,-0.0005631446838378906,0.08978271484375,0.11077880859375,0.0413818359375,0.0478515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,4.76837158203125e-07,1.1444091796875e-05,-2.5033950805664062e-06,100.0,0.017578125,0.015625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138397216796875,0.00018680095672607422,0.017242431640625,0.07122802734375,0.0005426406860351562,0.0273590087890625,-0.00012743473052978516,0.006839752197265625,0.00012254714965820312,0.2276611328125,0.213623046875,-5.91278076171875e-05,-4.988908767700195e-05,0.03271484375,0.032745361328125,0.049560546875,0.050262451171875,0.00296783447265625,0.00655364990234375,5.0067901611328125e-06,0.0006422996520996094,0.001796722412109375,0.0033283233642578125,0.29638671875,0.2919921875,0.056243896484375,0.05841064453125,0.1617431640625,0.16162109375,0.0297088623046875,0.0002200603485107422,0.0001437664031982422,-0.0004553794860839844,0.0875244140625,0.10821533203125,0.0389404296875,0.0462646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.384185791015625e-07,7.62939453125e-06,-2.384185791015625e-06,100.0625,0.010986328125,0.01171875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01434326171875,0.00018680095672607422,0.017913818359375,0.07501220703125,0.0005121231079101562,0.0287628173828125,-0.0001176595687866211,0.006893157958984375,8.618831634521484e-05,0.22607421875,0.2125244140625,-4.750490188598633e-05,-4.214048385620117e-05,0.033233642578125,0.033233642578125,0.051055908203125,0.05242919921875,0.0025577545166015625,0.006679534912109375,-5.5670738220214844e-05,0.000583648681640625,0.0017261505126953125,0.00325775146484375,0.304443359375,0.300048828125,0.057586669921875,0.06011962890625,0.1634521484375,0.163330078125,0.0299224853515625,0.00024437904357910156,0.00017786026000976562,-0.0004978179931640625,0.0853271484375,0.105712890625,0.036834716796875,0.044525146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-5.960464477539062e-07,5.7220458984375e-06,-1.6689300537109375e-06,100.0,0.018798828125,0.01171875
