Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025592660531401634,3.7491681723622605e-05,0.003333804663270712,0.01314314641058445,0.00011859463120345026,0.006740111857652664,6.468270385084907e-06,0.0011908748419955373,-1.405152306688251e-05,0.030704442411661148,0.02839374914765358,9.753023732628208e-06,1.8523791140978574e-06,0.00573918130248785,0.005736731458455324,0.0110460314899683,0.011675901710987091,0.00010454541916260496,0.0014838662464171648,5.164377398614306e-06,3.220506914658472e-05,0.0002033208729699254,0.00032305484637618065,0.0510249137878418,0.05079140514135361,0.009071160107851028,0.009401795454323292,0.015080228447914124,0.015052487142384052,0.0036464198492467403,1.4283679774962366e-05,1.4013737200002652e-05,-1.7695403585094027e-05,0.005968217737972736,0.007694418076425791,4.879631887888536e-05,0.00020582147408276796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.717295827409544e-07,-8.267932685157575e-07,6.985850404817029e-07,2.3503962154336477e-07,20.026519775390625,-0.0007308244821615517,0.0029774904251098633
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005357933230698109,7.495043973904103e-05,0.007274201605468988,0.026708174496889114,0.00022405924391932786,0.013152183964848518,2.6210731448372826e-05,0.0022448869422078133,-2.8711476261378266e-05,0.06451289355754852,0.06043722480535507,1.4121364984021056e-05,-5.379002914196462e-07,0.011679716408252716,0.011736150830984116,0.023226888850331306,0.024872876703739166,0.0002058919781120494,0.002887246198952198,8.376583537028637e-06,8.15183375380002e-05,0.0004004770307801664,0.0006448219646699727,0.1103382483124733,0.10989993810653687,0.02252734825015068,0.02309861220419407,0.02807917259633541,0.02801636978983879,0.0056165531277656555,3.755478610401042e-05,3.424876922508702e-05,-3.651311999419704e-05,0.01302276086062193,0.016607023775577545,8.80248990142718e-05,0.0004946702974848449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.382462753303116e-06,-2.091820306304726e-06,1.9478611648082733e-06,6.460060717472516e-07,40.056396484375,-0.004967355635017157,-0.0008672237163409591
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008146079257130623,0.00011239305604249239,0.011563694104552269,0.040704820305109024,0.0003513550036586821,0.017074931412935257,3.255693081882782e-05,0.0034156423062086105,-5.740543201682158e-05,0.10316026955842972,0.09617794305086136,1.830385735956952e-05,-8.650702511658892e-06,0.01810084469616413,0.0181481521576643,0.035523660480976105,0.03833632916212082,0.0002975217066705227,0.0045018321834504604,-6.558202585438266e-06,1.7459997252444737e-05,0.0005363902309909463,0.0009113658452406526,0.17299973964691162,0.17225967347621918,0.03891364485025406,0.039365626871585846,0.04207666963338852,0.04198893904685974,0.0080235805362463,0.00014573770749848336,0.0001448062976123765,-8.054253703448921e-05,0.021373530849814415,0.026870479807257652,0.00042713008588179946,0.002248873235657811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.016224011138547e-06,-2.14945180232462e-06,2.709450200200081e-06,1.4123855862635537e-06,60.00811004638672,-0.0065495967864990234,-0.0014456033241003752
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011703920550644398,0.0001496935437899083,0.01662459224462509,0.05351912975311279,0.0004583481641020626,0.01885022595524788,6.855875085420848e-07,0.0054106200113892555,-7.210342300822958e-05,0.1492096483707428,0.13792824745178223,1.989235715882387e-05,-6.085001018618641e-07,0.025164935737848282,0.025184545665979385,0.048799511045217514,0.05288669466972351,0.0003779234830290079,0.005781625397503376,-6.123640923760831e-05,0.00012317023356445134,0.0006946615176275373,0.0012295068008825183,0.23523369431495667,0.23413023352622986,0.05570023134350777,0.05539357662200928,0.05347459390759468,0.05333784967660904,0.011085028760135174,0.0024947680067270994,0.0025066793896257877,-0.00021074649703223258,0.031465522944927216,0.0386752225458622,0.0027848805766552687,0.00547034852206707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.174234163656365e-06,-2.1989690139889717e-06,3.847480002150405e-06,1.3780779681837885e-06,80.00015258789062,-0.02043733559548855,-0.00933980941772461
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014898854307830334,0.00018710957374423742,0.021594420075416565,0.06539033353328705,0.0005907752201892436,0.019968699663877487,-7.560683297924697e-05,0.008216407150030136,-9.698925714474171e-05,0.20666635036468506,0.18798792362213135,1.129525753640337e-05,-1.1605094186961651e-05,0.03278440982103348,0.03268153592944145,0.060942575335502625,0.0665956661105156,0.00047375098802149296,0.007204317022114992,-7.665756857022643e-05,0.00015631239512003958,0.0008037429070100188,0.0014894407941028476,0.29983460903167725,0.297102689743042,0.0740894302725792,0.0725305825471878,0.06501591205596924,0.06480146199464798,0.014383813366293907,0.006860918831080198,0.006899615749716759,-0.0001553613692522049,0.04419062286615372,0.05311184003949165,0.01129759568721056,0.015672557055950165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.772372681647539e-06,-2.128843334503472e-06,3.3332034945487976e-06,3.04769491776824e-06,100.08229064941406,-0.009733796119689941,-0.00033664703369140625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015502551570534706,0.00018714694306254387,0.02281029149889946,0.0652359127998352,0.0005802785162813962,0.017921248450875282,-5.491269621415995e-05,0.011037887074053288,-0.00011925449507543817,0.22426582872867584,0.2001534104347229,-2.9922546673333272e-05,-1.2853811313107144e-05,0.03468747064471245,0.03447801619768143,0.05980149284005165,0.06636521965265274,0.0004798945738002658,0.007296932395547628,-4.858795728068799e-05,0.00018357168301008642,0.0007961837109178305,0.0014584256568923593,0.306313157081604,0.3016073405742645,0.07853340357542038,0.07514948397874832,0.058194600045681,0.057853274047374725,0.015058382414281368,0.013766637071967125,0.013841234147548676,2.2203139451448806e-05,0.048338633030653,0.05652807280421257,0.016472764313220978,0.019911205396056175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.32418130710721e-06,-1.7559650586917996e-06,1.0826624929904938e-07,3.114138962700963e-06,100.12274932861328,-0.0018213987350463867,0.005832552909851074
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016362261027097702,0.00018725369591265917,0.024429621174931526,0.06262271106243134,0.0006015865947119892,0.017229026183485985,2.134908072548569e-06,0.01350746676325798,-0.00014328962424769998,0.2358158677816391,0.20623788237571716,-2.213281550211832e-05,-6.148884949652711e-06,0.03645126894116402,0.036067984998226166,0.05694151297211647,0.06448111683130264,0.0005338590126484632,0.007230688352137804,1.2486689229262993e-05,0.00016355086700059474,0.0008469654130749404,0.0014900395181030035,0.30116620659828186,0.2950423061847687,0.08184275031089783,0.07674460113048553,0.05995256081223488,0.05949161574244499,0.013104621320962906,0.008478987030684948,0.00858513917773962,5.0336308049736544e-05,0.05221806839108467,0.059631943702697754,0.02187647670507431,0.024165036156773567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3091637305915356e-06,-2.2140739019960165e-06,-6.633345037698746e-07,3.47966852132231e-06,100.1160659790039,-0.0029867887496948242,0.00563359260559082
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017247173935174942,0.000187223035027273,0.02539587952196598,0.05859598517417908,0.000585887348279357,0.01998356729745865,-2.0450483134482056e-05,0.01538776233792305,-0.00017298487364314497,0.24067726731300354,0.20646709203720093,-3.007513441843912e-05,-2.5163362806779332e-05,0.03812326490879059,0.03763217851519585,0.0548354871571064,0.06254461407661438,0.0005454274942167103,0.007450243923813105,-3.343559910717886e-06,0.00018355701467953622,0.0008129323832690716,0.0014487336156889796,0.27172422409057617,0.26356667280197144,0.0835677832365036,0.07598043233156204,0.05392925813794136,0.05338115617632866,0.01561646070331335,0.007570087909698486,0.007711004000157118,1.6259587937383913e-05,0.055919863283634186,0.0626658946275711,0.026957828551530838,0.027593789622187614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9503717087209225e-06,-3.5335251595824957e-06,-3.041466698050499e-06,1.2906675692647696e-06,100.17955017089844,-0.0017914772033691406,0.008404850959777832
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017620200291275978,0.00018714825273491442,0.025823237374424934,0.05343106761574745,0.0005786186666227877,0.02150385081768036,-2.0296107322792523e-05,0.01707986183464527,-0.00017731690604705364,0.23509488999843597,0.19689759612083435,-6.3441416386922356e-06,-3.7527155654970556e-05,0.038709454238414764,0.03788628429174423,0.05199870094656944,0.06018463522195816,0.000534388585947454,0.007378349080681801,5.570393113885075e-05,0.00035496903001330793,0.0008436086936853826,0.001462430926039815,0.24003702402114868,0.2295934557914734,0.08327564597129822,0.07301691174507141,0.05121411383152008,0.05060412362217903,0.017322346568107605,0.0027880144771188498,0.002972434740513563,3.767032103496604e-05,0.05838516727089882,0.06362911313772202,0.035962652415037155,0.035582683980464935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1899544410407543e-06,-3.5995326470583677e-06,-2.364860847592354e-06,2.2671883925795555e-08,100.19328308105469,0.002286076545715332,0.011376023292541504
