Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005490609910339117,3.7179583159741014e-05,0.008451106026768684,0.020442888140678406,0.0020226608030498028,0.04541759565472603,0.00754252914339304,0.0006837378605268896,5.5257114581763744e-05,0.00019556027837097645,0.0006781904376111925,2.748465249169385e-06,-1.3029714409640292e-06,0.0018942992901429534,0.0017110246699303389,0.008822383359074593,0.009667870588600636,-4.9680886149872094e-05,0.0011255989084020257,-4.1331059037474915e-05,1.2427769433998037e-05,0.00016996354679577053,0.0001239876146428287,0.039635851979255676,0.040507618337869644,0.02059120684862137,0.020087609067559242,1.8847435057978146e-05,1.5749275917187333e-05,0.03919985890388489,0.03943457081913948,0.039441611617803574,-0.00016317758127115667,0.008685991168022156,0.008299588225781918,0.0024163052439689636,0.0017041426617652178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7390004813933047e-06,-1.088599645981958e-07,1.801783241717203e-06,1.2120814290028648e-06,19.998449325561523,0.00022790432558394969,-0.0008851766469888389
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009209337644279003,7.438148895744234e-05,0.01611044630408287,0.02887551486492157,0.004049795214086771,0.08685148507356644,0.01850823685526848,0.0010866504162549973,9.559220779919997e-05,0.0028254243079572916,0.0054187108762562275,-3.630464198067784e-05,2.0679923181887716e-05,0.0033499121200293303,0.0030768639408051968,0.01588616520166397,0.017996344715356827,-0.00011876677308464423,0.002177466871216893,-0.00010280562855768949,5.408756624092348e-05,0.0003753039345610887,0.0002702682395465672,0.06768324226140976,0.0687236338853836,0.038906849920749664,0.03846104443073273,-3.804117295658216e-05,-4.06507242587395e-05,0.07636457681655884,0.07949584722518921,0.07951325178146362,-0.0002255385770695284,0.01781807839870453,0.01673247665166855,0.009115776047110558,0.008084943518042564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0983005672169384e-06,-3.50980542407342e-07,3.430526703596115e-06,1.5566590718663065e-06,40.04533386230469,-0.0006466388585977256,0.0007536888006143272
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011715016327798367,0.00011156850814586505,0.02306484989821911,0.03773975744843483,0.006216580979526043,0.11733770370483398,0.02498878724873066,0.0010841607581824064,0.0001276159891858697,0.021935757249593735,0.027514971792697906,-6.551267142640427e-05,2.281804700032808e-05,0.004647457040846348,0.004432259127497673,0.02315860614180565,0.02668173983693123,-0.00019993346359115094,0.0032616518437862396,-0.00012693922326434404,0.0001080396250472404,0.0006259391084313393,0.00044284944306127727,0.09391585737466812,0.09501205384731293,0.05657687038183212,0.05556253716349602,-1.6795724150142632e-05,-2.228504490631167e-05,0.11216530203819275,0.11983422189950943,0.11988508701324463,-0.00021303415996953845,0.028548788279294968,0.027268564328551292,0.018902286887168884,0.01821076311171055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.782779680885142e-06,-7.840746434339962e-07,4.1441526263952255e-06,-1.8262070966557076e-07,60.03093719482422,-0.002070307731628418,-0.0010881185298785567
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013450808823108673,0.00014873359759803861,0.029329806566238403,0.04628807306289673,0.007389054633677006,0.15117676556110382,0.03822145611047745,0.0013017100282013416,0.00017992427456192672,0.0414682999253273,0.047885145992040634,-5.059370960225351e-05,5.091947969049215e-05,0.0055157882161438465,0.005249190144240856,0.030599772930145264,0.03678208962082863,-0.00028469396056607366,0.004108225926756859,-0.00022507323592435569,0.0002076643577311188,0.0008385000983253121,0.0005793796153739095,0.11993106454610825,0.12088962644338608,0.07323844730854034,0.07285914570093155,-4.5133710955269635e-05,-4.289126445655711e-05,0.14524933695793152,0.15612153708934784,0.1561867892742157,-0.0001120301749324426,0.03762766718864441,0.03587581589818001,0.03103155829012394,0.031126270070672035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.823288458690513e-06,-1.2000207334494917e-06,5.021877768740524e-06,4.606554426800358e-08,80.08638000488281,-0.004110908601433039,-0.0003765106084756553
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014625818468630314,0.00018596627342049032,0.035808268934488297,0.05847351253032684,0.006564542185515165,0.17830705642700195,0.03446931764483452,0.0017122500576078892,0.00020356097957119346,0.08069740980863571,0.08774640411138535,-9.733301703818142e-05,9.939067240338773e-05,0.006494041532278061,0.006310575641691685,0.03761149197816849,0.04645185172557831,-0.00041011362918652594,0.004485120996832848,-0.0002173823449993506,0.0003044269687961787,0.0009765439317561686,0.0006229658611118793,0.166031613945961,0.1675843745470047,0.09622622281312943,0.09567661583423615,-1.8621981325850356e-06,-2.801269329211209e-05,0.178168386220932,0.19434447586536407,0.19443608820438385,-0.0001810261601349339,0.04786413535475731,0.04617207124829292,0.0454973541200161,0.04696892574429512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.804366759955883e-06,-1.9771541701629758e-06,5.954643711447716e-06,-6.417103577405214e-07,100.05997467041016,-0.007959246635437012,-0.002102971076965332
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013668789528310299,0.00018595915753394365,0.036401163786649704,0.08116341382265091,0.0030976564157754183,0.1778835654258728,0.015464364551007748,0.0016276712995022535,0.00014072046906221658,0.09860079735517502,0.10301389545202255,-0.00013182323891669512,0.00013018929166719317,0.006336912978440523,0.006369330454617739,0.036973532289266586,0.04600374400615692,-0.0004317876591812819,0.003980318084359169,-0.00022760067076887935,0.0003159950429107994,0.000943229126278311,0.0005770046263933182,0.23626722395420074,0.23867613077163696,0.10925674438476562,0.10823337733745575,2.896636715377099e-06,-2.969831257360056e-05,0.1763174682855606,0.19182457029819489,0.19190268218517303,-0.00033833508496172726,0.048244886100292206,0.04697598144412041,0.045228078961372375,0.047785453498363495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.015253115445375e-06,-6.13450538367033e-07,4.4228509068489075e-06,1.65554229170084e-06,100.04463195800781,0.0025228261947631836,0.006878018379211426
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015192588791251183,0.00018589178216643631,0.03800957649946213,0.14278483390808105,0.0016171763418242335,0.19030460715293884,0.0020152695942670107,0.0016781012527644634,9.091408719541505e-05,0.11094263195991516,0.11358091980218887,-0.00015315157361328602,9.414516534889117e-05,0.008136271499097347,0.008241293020546436,0.040215324610471725,0.048994455486536026,-0.0003608456172514707,0.003998107276856899,-0.00026915970374830067,0.0002477798843756318,0.0009047692292369902,0.0005641773459501565,0.3224210739135742,0.3264596462249756,0.1290498673915863,0.12877711653709412,-4.778206493938342e-05,-8.634485129732639e-05,0.18004296720027924,0.19375799596309662,0.19379658997058868,-0.00037264463026076555,0.04871571063995361,0.04746859148144722,0.03702491149306297,0.04088372364640236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.792077329009771e-06,1.0645599104464054e-06,5.988636985421181e-06,5.204579792916775e-06,100.0634536743164,0.005773663520812988,0.008881211280822754
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022530697286128998,0.0001858366304077208,0.039895687252283096,0.19706054031848907,0.001116560073569417,0.19724293053150177,0.00042524083983153105,0.0016120853833854198,0.0001237925753230229,0.11645742505788803,0.12097577750682831,-9.676259651314467e-05,0.00011603228631429374,0.011723529547452927,0.011591329239308834,0.047510337084531784,0.05434618145227432,-0.00035301208845339715,0.004213110543787479,-0.000189772283192724,0.00021357397781684995,0.000836959108710289,0.0005534669035114348,0.3907686471939087,0.39554014801979065,0.13934673368930817,0.14059264957904816,7.004588951531332e-06,-9.833276635617949e-06,0.17970556020736694,0.19180577993392944,0.19182069599628448,-0.00048709678230807185,0.049195900559425354,0.04831181839108467,0.028607672080397606,0.032218411564826965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.295690011233091e-06,2.240994945168495e-09,5.115056410431862e-06,7.427879609167576e-06,99.99725341796875,-0.0028922557830810547,-0.00033605098724365234
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03168744966387749,0.00018590946274343878,0.041302379220724106,0.23084871470928192,0.0011227576760575175,0.20232179760932922,0.00036644324427470565,0.001659726956859231,0.00011135885142721236,0.11374137550592422,0.11908217519521713,-0.00010420364560559392,9.9711942311842e-05,0.01661343313753605,0.016382643952965736,0.060120757669210434,0.06488453596830368,-0.0004002118075732142,0.004283135291188955,-0.00022169444127939641,0.000173389125848189,0.000760008639190346,0.0005345887620933354,0.42883050441741943,0.4324067234992981,0.1438387632369995,0.14598368108272552,4.614442786987638e-06,3.3858418646559585e-06,0.18143147230148315,0.1973862498998642,0.19738447666168213,-0.000528677657712251,0.048755526542663574,0.048041071742773056,0.0221867673099041,0.02544037252664566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.614900823682547e-06,-1.6085250535979867e-06,5.399109795689583e-06,8.71199881657958e-06,99.99687957763672,0.0048645734786987305,0.004658818244934082
