Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018854904919862747,3.733504127012566e-05,0.0024179108440876007,0.019358763471245766,0.00866626389324665,0.015863284468650818,5.656931170960888e-05,0.0018506444757804275,-9.194370250042994e-06,0.020489942282438278,0.02136496640741825,-1.3137007954355795e-05,-3.2962765317279263e-07,0.0048014214262366295,0.00471683731302619,0.015922684222459793,0.016009915620088577,0.0005744606023654342,0.001897211535833776,-4.623659151548054e-06,-2.237395165138878e-05,9.258423961000517e-05,0.00014736973389517516,0.04175816476345062,0.04143660515546799,0.0048066964372992516,0.005053703673183918,-1.6544847312616184e-05,-4.347628419054672e-05,0.030058041214942932,0.024288250133395195,0.024302510544657707,0.0001388255914207548,0.0065337615087628365,0.007678341120481491,-9.611621862859465e-07,6.74591792630963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.651179198044701e-07,-3.790773916989565e-07,1.1259223811066477e-06,2.3479223898448254e-07,20.034914016723633,0.0006890773656778038,0.0019294976955279708
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004328509327024221,7.464824011549354e-05,0.00719185546040535,0.05674203485250473,0.01165776513516903,0.050551749765872955,7.089132850524038e-05,0.0036966302432119846,-1.05197350421804e-05,0.03961252421140671,0.042614661157131195,-2.0062614566995762e-05,9.083720215130597e-06,0.010254193097352982,0.01000161748379469,0.034472741186618805,0.0347214937210083,0.00010604989802232012,0.0037438899744302034,-2.183295691793319e-05,-4.231031198287383e-05,0.00013967677659820765,0.0002552310179453343,0.1140265017747879,0.11228886991739273,0.018766826018691063,0.01982421986758709,-1.1523783541633748e-05,-6.714808841934428e-05,0.05835290998220444,0.05384703353047371,0.05386565253138542,0.00018813050701282918,0.013782250694930553,0.01600736379623413,-6.057543942006305e-05,0.00021113434922881424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0421807676029857e-06,-5.428329927781306e-07,2.1043233573436737e-06,2.528936647649971e-06,40.056129455566406,0.0012034892570227385,0.003924178890883923
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007614844478666782,0.00011196314153494313,0.013227557763457298,0.10107537358999252,0.01353845652192831,0.08993154764175415,7.446287054335698e-05,0.005000782664865255,-2.982329169753939e-05,0.05795310437679291,0.06462909281253815,-4.9425314500695094e-05,1.5896874174359255e-05,0.015599498525261879,0.015206953510642052,0.054671771824359894,0.055682286620140076,6.136412412161008e-05,0.0051643275655806065,-2.5522493160679005e-05,-0.00011222874309169129,0.0001262966834474355,0.00036634699790738523,0.1979551762342453,0.1944163739681244,0.03711570054292679,0.03916257992386818,3.1015904824016616e-05,-8.614844409748912e-05,0.0851765125989914,0.08671925961971283,0.0867341011762619,0.00010163040133193135,0.022493934258818626,0.025858519598841667,-0.0001592219341546297,0.0004479223280213773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4287222661077976e-06,-1.2030650395900011e-06,3.1578820198774338e-06,3.6575481772160856e-06,60.05479049682617,0.005906653590500355,0.007262206170707941
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011516851373016834,0.0001492222654633224,0.02036425657570362,0.14677438139915466,0.014328954741358757,0.12642887234687805,5.1450148021103814e-05,0.006566401571035385,-2.3597225663252175e-05,0.08194670081138611,0.09137754142284393,-4.636893208953552e-05,3.1774463423062116e-05,0.02198353223502636,0.021465091034770012,0.0763254165649414,0.07776077091693878,6.523157935589552e-05,0.0065960451029241085,-2.4850876798154786e-05,-9.31550603127107e-05,0.00010377609578426927,0.0004215352819301188,0.2850298285484314,0.27952879667282104,0.056356918066740036,0.059316229075193405,6.758201197953895e-05,-5.668521043844521e-05,0.11146117746829987,0.11857344955205917,0.11859671771526337,5.05242969666142e-05,0.029890935868024826,0.03458114713430405,-0.00020184698223602027,0.0006742557743564248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.820067599415779e-06,-1.9668136701511685e-06,3.7567690469586523e-06,5.7554802879167255e-06,80.05045318603516,0.012783527374267578,0.010936069302260876
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01595769263803959,0.00018647892284207046,0.027245059609413147,0.19010794162750244,0.014949257485568523,0.15998445451259613,2.321707142982632e-05,0.007897871546447277,2.1711457520723343e-05,0.10973057895898819,0.12392108142375946,-6.95775161148049e-05,2.207689431088511e-05,0.028667856007814407,0.027914848178625107,0.09813287109136581,0.09961438179016113,4.65077355329413e-05,0.008062449283897877,-6.337437662295997e-05,-9.421486174687743e-05,0.00010675214434741065,0.0005596422124654055,0.3711811304092407,0.364067941904068,0.07763821631669998,0.0821061059832573,4.420980985742062e-05,-0.00012621431960724294,0.138533815741539,0.148610457777977,0.1486293226480484,-6.589729309780523e-05,0.038937997072935104,0.045124441385269165,-0.0002949248591903597,0.001264682854525745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.200229447335005e-06,-2.71783210337162e-06,6.641494110226631e-06,5.950016202405095e-06,100.05558776855469,0.01846897602081299,0.013295292854309082
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016837095841765404,0.00018638283654581755,0.029653282836079597,0.18685440719127655,0.013085026293992996,0.15512068569660187,3.4420358133502305e-05,0.007104143034666777,5.639703886117786e-05,0.11981616169214249,0.13385166227817535,-7.009667024249211e-05,3.5102297260891646e-05,0.029732659459114075,0.028932742774486542,0.09723097085952759,0.10032473504543304,-1.9095819880021736e-05,0.007950237020850182,-8.841280214255676e-05,-0.00010437388118589297,3.1783132726559415e-05,0.00048521585995331407,0.3785442113876343,0.3719497323036194,0.08291833102703094,0.08817397058010101,-6.282478352659382e-06,-0.00013518422201741487,0.13726197183132172,0.14592091739177704,0.1459321528673172,-3.773752541746944e-05,0.03929390013217926,0.046091657131910324,0.000158865557750687,0.004479089751839638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.573682185262442e-06,-2.6627385523170233e-06,4.984205588698387e-06,5.7460274547338486e-06,100.04740905761719,0.021411538124084473,0.015730977058410645
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018169837072491646,0.00018642442591954023,0.031294725835323334,0.1669076383113861,0.010660766623914242,0.1453656554222107,-6.733728514518589e-05,0.0069178249686956406,7.540958176832646e-05,0.1287713497877121,0.14209264516830444,-9.939086885424331e-05,5.120866626384668e-05,0.030225884169340134,0.029464131221175194,0.09330922365188599,0.09766565263271332,-6.214497261680663e-05,0.007683549076318741,-0.00014962289424147457,-0.00011462468683021143,-9.612813300918788e-06,0.00048112214426510036,0.34903720021247864,0.3440707325935364,0.0888703241944313,0.09422408789396286,-3.8201957067940384e-05,-0.00016348451026715338,0.136881023645401,0.1452951431274414,0.14529754221439362,2.3610926291439682e-05,0.04090246185660362,0.04826102405786514,0.0005676979781128466,0.007247786968946457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4470147006213665e-06,-3.2980169635266066e-06,3.3995602279901505e-06,4.661880666390061e-06,100.05522918701172,0.02070438861846924,0.017064690589904785
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018408827483654022,0.00018639149493537843,0.032822802662849426,0.1437453329563141,0.00949028693139553,0.13834518194198608,-4.718793570646085e-05,0.0067059872671961784,9.915472764987499e-05,0.13200873136520386,0.14423485100269318,-0.00011123669537482783,4.759423973155208e-05,0.03002750314772129,0.029415268450975418,0.09040705859661102,0.09744660556316376,-7.63216448831372e-05,0.007241106126457453,-0.00015132728731259704,-0.0001465322420699522,-7.471665867342381e-06,0.00047292603994719684,0.312353253364563,0.30942627787590027,0.09050039201974869,0.09566877037286758,-3.0081420845817775e-05,-0.00012679427163675427,0.13613063097000122,0.14747251570224762,0.14747291803359985,0.00010378483420936391,0.042163070291280746,0.04996161162853241,0.0014977623941376805,0.0094459792599082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.361100193113089e-06,-3.237073542550206e-06,4.120403900742531e-06,3.3251126296818256e-06,100.02314758300781,0.01623976230621338,0.014942765235900879
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018884414806962013,0.00018639651534613222,0.03332250565290451,0.12146814167499542,0.00891227275133133,0.13735820353031158,-1.941336267918814e-05,0.006829810328781605,9.275304182665423e-05,0.12534238398075104,0.137299045920372,-9.605390368960798e-05,4.407219967106357e-05,0.029471855610609055,0.028826799243688583,0.08920767903327942,0.0977444276213646,-1.3566594134317711e-05,0.0068396832793951035,-0.0002043676795437932,-8.646149217383936e-05,-3.1693354685558006e-05,0.00044204070582054555,0.2751178741455078,0.2753067910671234,0.0880739688873291,0.0922030434012413,5.836933723912807e-06,-9.937256254488602e-05,0.13471858203411102,0.15039010345935822,0.1504005491733551,-4.025477755931206e-05,0.042840197682380676,0.05052709951996803,0.0030115877743810415,0.010253789834678173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4468982852995396e-06,-2.2230669856071472e-06,3.4531112760305405e-06,1.6129342839121819e-06,99.99776458740234,0.010483384132385254,0.01015937328338623
