Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002918243408203125,3.695487976074219e-05,0.0048370361328125,0.0168304443359375,0.01103973388671875,0.01800537109375,0.00018012523651123047,0.002002716064453125,2.092123031616211e-05,0.00440216064453125,0.006988525390625,8.821487426757812e-06,3.9577484130859375e-05,0.00391387939453125,0.003444671630859375,0.0247802734375,0.0259552001953125,5.841255187988281e-05,0.00174713134765625,-3.141164779663086e-05,9.000301361083984e-06,-0.00012743473052978516,-7.671117782592773e-05,0.032928466796875,0.03204345703125,0.0025653839111328125,0.002521514892578125,2.956390380859375e-05,-4.172325134277344e-07,0.04608154296875,0.062408447265625,0.06243896484375,-0.00016164779663085938,0.00540924072265625,0.00608062744140625,1.3113021850585938e-05,8.761882781982422e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-2.384185791015625e-07,1.5497207641601562e-06,-5.364418029785156e-07,19.984375,-0.00146484375,-0.0016603469848632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00620269775390625,7.402896881103516e-05,0.00954437255859375,0.041656494140625,0.019744873046875,0.042633056640625,0.00015306472778320312,0.004154205322265625,3.618001937866211e-05,0.01230621337890625,0.017242431640625,1.4662742614746094e-05,5.811452865600586e-05,0.0083465576171875,0.007396697998046875,0.04986572265625,0.051910400390625,9.435415267944336e-05,0.0036716461181640625,-6.622076034545898e-05,-1.0132789611816406e-05,-0.000255584716796875,-0.00014030933380126953,0.08013916015625,0.0777587890625,0.007404327392578125,0.007366180419921875,4.184246063232422e-05,-1.1205673217773438e-05,0.0899658203125,0.12188720703125,0.1219482421875,-0.0003147125244140625,0.0106201171875,0.0121002197265625,7.748603820800781e-07,0.00015044212341308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-3.5762786865234375e-07,3.814697265625e-06,-5.364418029785156e-07,40.0,-0.006641387939453125,-0.0029296875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00908660888671875,0.00011092424392700195,0.01427459716796875,0.0738525390625,0.029510498046875,0.077880859375,0.00024271011352539062,0.006244659423828125,3.9637088775634766e-05,0.01873779296875,0.026763916015625,1.138448715209961e-05,8.040666580200195e-05,0.0125732421875,0.01108551025390625,0.07769775390625,0.081298828125,0.00014591217041015625,0.0055389404296875,-9.018182754516602e-05,-5.8770179748535156e-05,-0.0004143714904785156,-0.0002694129943847656,0.137939453125,0.13330078125,0.013397216796875,0.01364898681640625,5.733966827392578e-05,-4.32133674621582e-05,0.138916015625,0.1865234375,0.1866455078125,-0.0004394054412841797,0.0164031982421875,0.0186614990234375,-7.587671279907227e-05,0.00012046098709106445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.159046173095703e-06,-1.1324882507324219e-06,-4.589557647705078e-06,1.1324882507324219e-06,60.0,-0.00498199462890625,-0.0029296875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01265716552734375,0.00014793872833251953,0.01934814453125,0.10467529296875,0.04644775390625,0.0972900390625,0.0003695487976074219,0.00852203369140625,7.724761962890625e-05,0.0234222412109375,0.03326416015625,-3.874301910400391e-06,0.00011032819747924805,0.01763916015625,0.0156097412109375,0.1038818359375,0.1077880859375,0.00017452239990234375,0.007640838623046875,-0.0001442432403564453,-4.8100948333740234e-05,-0.00054168701171875,-0.0003581047058105469,0.181884765625,0.17529296875,0.0161590576171875,0.016082763671875,9.351968765258789e-05,-9.28044319152832e-05,0.1881103515625,0.248291015625,0.2484130859375,-0.0005288124084472656,0.0223236083984375,0.0249481201171875,-7.18832015991211e-05,0.00012111663818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.2516975402832031e-06,0.0,1.430511474609375e-06,80.0625,-0.0085906982421875,-0.005859375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01568603515625,0.00018477439880371094,0.022735595703125,0.10467529296875,0.06866455078125,0.0933837890625,0.0006623268127441406,0.01055908203125,5.632638931274414e-05,0.0140228271484375,0.0269775390625,2.2649765014648438e-05,0.00015497207641601562,0.020416259765625,0.017852783203125,0.128662109375,0.13330078125,0.00022923946380615234,0.00977325439453125,-0.00024247169494628906,-3.784894943237305e-05,-0.0007300376892089844,-0.0005173683166503906,0.1756591796875,0.170166015625,0.0105743408203125,0.0105743408203125,8.147954940795898e-05,-0.0001062154769897461,0.23779296875,0.3134765625,0.31396484375,-0.0007343292236328125,0.027069091796875,0.03045654296875,-1.4483928680419922e-05,0.0002257823944091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-05,-8.344650268554688e-07,9.5367431640625e-06,-1.430511474609375e-06,100.0,-0.01171875,0.00048828125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164794921875,0.00018489360809326172,0.0212860107421875,0.10247802734375,0.06756591796875,0.092041015625,0.0005712509155273438,0.0111846923828125,0.00010144710540771484,0.0184173583984375,0.032012939453125,4.947185516357422e-06,0.00015163421630859375,0.021209716796875,0.0186767578125,0.12744140625,0.1317138671875,0.00032258033752441406,0.0107421875,-0.00021469593048095703,-4.696846008300781e-05,-0.000675201416015625,-0.00038123130798339844,0.1787109375,0.173095703125,0.0117950439453125,0.01174163818359375,0.00013518333435058594,-3.6597251892089844e-05,0.2347412109375,0.30908203125,0.309326171875,-0.0007171630859375,0.027252197265625,0.030670166015625,4.106760025024414e-05,0.00035881996154785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.3113021850585938e-06,1.1444091796875e-05,-1.1920928955078125e-06,100.0,-0.0146484375,-0.00390625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016021728515625,0.00018477439880371094,0.0210418701171875,0.1024169921875,0.064697265625,0.1121826171875,0.0003387928009033203,0.01108551025390625,9.107589721679688e-05,0.01605224609375,0.0295867919921875,-1.150369644165039e-05,0.00011599063873291016,0.0207366943359375,0.0181732177734375,0.1312255859375,0.1346435546875,0.00023472309112548828,0.01052093505859375,-0.0002579689025878906,-8.52346420288086e-06,-0.0006923675537109375,-0.0003921985626220703,0.1988525390625,0.192138671875,0.0164031982421875,0.0166015625,8.088350296020508e-05,-7.873773574829102e-05,0.2354736328125,0.312744140625,0.313232421875,-0.0008416175842285156,0.0278472900390625,0.0309600830078125,1.6927719116210938e-05,0.0003161430358886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-9.5367431640625e-07,-3.814697265625e-06,-9.5367431640625e-07,100.0625,-0.0126953125,-0.005859375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163421630859375,0.00018513202667236328,0.0225372314453125,0.1116943359375,0.04766845703125,0.142578125,0.00039005279541015625,0.01141357421875,7.921457290649414e-05,0.01702880859375,0.031158447265625,2.205371856689453e-06,0.00015497207641601562,0.0218353271484375,0.0192718505859375,0.1363525390625,0.141357421875,0.00024127960205078125,0.0103912353515625,-0.0002338886260986328,-7.110834121704102e-05,-0.000698089599609375,-0.00040793418884277344,0.2308349609375,0.2220458984375,0.026275634765625,0.0268096923828125,6.562471389770508e-05,-9.399652481079102e-05,0.232666015625,0.3095703125,0.309814453125,-0.0007548332214355469,0.0274658203125,0.03082275390625,1.3709068298339844e-06,0.0003211498260498047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,3.5762786865234375e-07,1.52587890625e-05,-1.1920928955078125e-07,100.0625,-0.00927734375,-0.00537109375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016448974609375,0.00018489360809326172,0.023834228515625,0.111572265625,0.042816162109375,0.1605224609375,0.00035572052001953125,0.01165008544921875,5.322694778442383e-05,0.01238250732421875,0.0263824462890625,-1.1742115020751953e-05,0.00014770030975341797,0.0213623046875,0.01873779296875,0.1405029296875,0.14697265625,0.00015783309936523438,0.00984954833984375,-0.00019359588623046875,-3.999471664428711e-05,-0.000728607177734375,-0.0004520416259765625,0.2421875,0.23291015625,0.0308837890625,0.03155517578125,8.755922317504883e-05,-6.222724914550781e-05,0.237548828125,0.316162109375,0.316162109375,-0.0008764266967773438,0.028533935546875,0.031646728515625,6.42538070678711e-05,0.00036144256591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,1.1920928955078125e-07,3.814697265625e-06,1.1920928955078125e-07,100.0,-0.0166015625,-0.01025390625
