Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006572723388671875,3.6835670471191406e-05,0.00504302978515625,0.017913818359375,0.01375579833984375,0.01316070556640625,0.00010669231414794922,0.002071380615234375,2.6881694793701172e-05,0.0014123916625976562,0.0035247802734375,2.9206275939941406e-06,2.2232532501220703e-05,0.0078887939453125,0.007343292236328125,0.0262451171875,0.026702880859375,0.0006036758422851562,0.0034580230712890625,-2.205371856689453e-06,-8.082389831542969e-05,-0.0001590251922607422,-4.00543212890625e-05,0.0257568359375,0.024749755859375,0.0002353191375732422,0.00029540061950683594,8.702278137207031e-06,-1.8298625946044922e-05,0.0849609375,0.0845947265625,0.0845947265625,-0.00011289119720458984,0.008758544921875,0.00965118408203125,-4.088878631591797e-05,-1.4066696166992188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-4.76837158203125e-07,7.748603820800781e-07,-1.1324882507324219e-06,20.0,-0.0035152435302734375,-0.003223419189453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01018524169921875,7.361173629760742e-05,0.00765228271484375,0.026763916015625,0.0292205810546875,0.0194854736328125,0.00397491455078125,0.004100799560546875,5.8650970458984375e-05,3.784894943237305e-05,0.0008955001831054688,0.0016374588012695312,0.00020122528076171875,0.0123291015625,0.01123809814453125,0.0452880859375,0.04644775390625,0.0027618408203125,0.006427764892578125,-1.7285346984863281e-06,-0.00013196468353271484,-0.00030350685119628906,-0.00010263919830322266,0.035919189453125,0.03448486328125,9.72747802734375e-05,9.948015213012695e-05,3.1113624572753906e-05,-1.5139579772949219e-05,0.162353515625,0.1636962890625,0.163818359375,-0.00011861324310302734,0.01552581787109375,0.0171966552734375,-7.82012939453125e-05,-6.407499313354492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.086162567138672e-06,-1.2516975402832031e-06,-2.2649765014648438e-06,-2.0265579223632812e-06,40.0,-0.004688262939453125,-0.005077362060546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01336669921875,0.00011044740676879883,0.0081024169921875,0.0360107421875,0.04901123046875,0.0261077880859375,0.0146942138671875,0.006359100341796875,2.568960189819336e-05,6.771087646484375e-05,0.00036215782165527344,0.01172637939453125,0.00994873046875,0.015472412109375,0.01386260986328125,0.06256103515625,0.06390380859375,0.006961822509765625,0.00974273681640625,-6.604194641113281e-05,-0.00017023086547851562,-0.0004429817199707031,-0.00017189979553222656,0.046844482421875,0.0438232421875,0.00019288063049316406,2.6524066925048828e-05,4.5418739318847656e-05,-1.4066696166992188e-05,0.240966796875,0.243896484375,0.244140625,-0.000247955322265625,0.0208587646484375,0.0230865478515625,-8.666515350341797e-05,-0.00011718273162841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-9.5367431640625e-07,9.179115295410156e-06,-3.2782554626464844e-06,60.0,-0.0023441314697265625,-0.0087890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016326904296875,0.00014710426330566406,0.00978851318359375,0.0496826171875,0.06488037109375,0.051910400390625,0.0305938720703125,0.00873565673828125,4.8995018005371094e-05,4.297494888305664e-05,0.00038623809814453125,0.0290069580078125,0.0264129638671875,0.017730712890625,0.0157318115234375,0.07830810546875,0.08099365234375,0.00691986083984375,0.0124969482421875,-2.0623207092285156e-05,-0.00021910667419433594,-0.0005707740783691406,-0.00024187564849853516,0.06982421875,0.065673828125,0.0002853870391845703,0.0001233816146850586,0.0001189112663269043,-4.887580871582031e-06,0.323486328125,0.32861328125,0.328857421875,-3.7550926208496094e-05,0.024871826171875,0.027435302734375,-0.0001342296600341797,-7.450580596923828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-1.5497207641601562e-06,7.62939453125e-06,-3.814697265625e-06,80.0,-0.0128936767578125,-0.01210784912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196075439453125,0.0001837015151977539,0.01035308837890625,0.06634521484375,0.08428955078125,0.07440185546875,0.043487548828125,0.0109405517578125,6.258487701416016e-06,7.903575897216797e-05,0.0003600120544433594,0.038482666015625,0.03826904296875,0.0200347900390625,0.017608642578125,0.0970458984375,0.09954833984375,0.005680084228515625,0.015106201171875,-0.00018203258514404297,-0.0001842975616455078,-0.0007352828979492188,-0.0003311634063720703,0.104736328125,0.0982666015625,0.00011140108108520508,-8.33272933959961e-05,4.118680953979492e-05,-0.00010377168655395508,0.412109375,0.418701171875,0.4189453125,-0.00011718273162841797,0.0293731689453125,0.0323486328125,-0.00010055303573608398,-0.00017213821411132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.9073486328125e-06,0.0,-4.887580871582031e-06,100.0,-0.0048828125,-0.0078125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177764892578125,0.0001837015151977539,0.0099945068359375,0.065185546875,0.07965087890625,0.07794189453125,0.041046142578125,0.0111236572265625,-3.218650817871094e-05,0.00015687942504882812,0.0003955364227294922,0.025238037109375,0.0247650146484375,0.018218994140625,0.015716552734375,0.09429931640625,0.0963134765625,0.0030574798583984375,0.0142669677734375,-0.00021982192993164062,-0.00014865398406982422,-0.000728607177734375,-0.00037384033203125,0.115478515625,0.10736083984375,-3.814697265625e-05,-4.696846008300781e-05,3.695487976074219e-05,-0.0001062154769897461,0.41845703125,0.42529296875,0.425537109375,0.00018680095672607422,0.0287628173828125,0.031097412109375,-0.00012254714965820312,-0.00020933151245117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-4.5299530029296875e-06,0.0,-4.172325134277344e-06,100.0,-0.0009765625,-0.01220703125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173492431640625,0.0001837015151977539,0.0101165771484375,0.068115234375,0.0726318359375,0.11163330078125,0.040191650390625,0.0107421875,7.450580596923828e-06,6.16312026977539e-05,0.0005130767822265625,0.0167236328125,0.0159912109375,0.016937255859375,0.014404296875,0.09576416015625,0.097900390625,0.001018524169921875,0.01345062255859375,-9.047985076904297e-05,-0.0001220703125,-0.0006928443908691406,-0.0003981590270996094,0.14599609375,0.13671875,-0.00021028518676757812,-1.9550323486328125e-05,7.539987564086914e-05,-8.910894393920898e-05,0.4208984375,0.43115234375,0.431640625,0.00033020973205566406,0.0270538330078125,0.02935791015625,-9.322166442871094e-05,-0.0001590251922607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-3.5762786865234375e-06,-1.9073486328125e-06,-2.2649765014648438e-06,100.0,-0.01416015625,-0.00634765625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017181396484375,0.00018358230590820312,0.009124755859375,0.07080078125,0.0673828125,0.1331787109375,0.031951904296875,0.01140594482421875,-3.832578659057617e-05,-0.0004875659942626953,-7.200241088867188e-05,0.001453399658203125,0.0016660690307617188,0.0163116455078125,0.01390838623046875,0.10101318359375,0.10150146484375,0.0003859996795654297,0.013824462890625,-0.00015878677368164062,-0.0001913309097290039,-0.000766754150390625,-0.00047278404235839844,0.1751708984375,0.1634521484375,0.0004367828369140625,0.0007739067077636719,-7.355213165283203e-05,-0.00019407272338867188,0.425048828125,0.435546875,0.435546875,0.0003218650817871094,0.0274200439453125,0.0294952392578125,-7.921457290649414e-05,-0.0002930164337158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-2.384185791015625e-06,-7.62939453125e-06,-1.0728836059570312e-06,100.1875,0.00830078125,0.00390625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169677734375,0.00018358230590820312,0.012939453125,0.076904296875,0.047607421875,0.197998046875,0.026153564453125,0.01055908203125,-2.9206275939941406e-06,-0.0002777576446533203,0.0033111572265625,0.0006380081176757812,0.0006957054138183594,0.014923095703125,0.01251983642578125,0.10577392578125,0.10748291015625,0.0002579689025878906,0.01245880126953125,-0.00013875961303710938,-0.00018918514251708984,-0.0007877349853515625,-0.00047206878662109375,0.2171630859375,0.2037353515625,0.0309906005859375,0.031768798828125,8.225440979003906e-06,-0.00017213821411132812,0.436279296875,0.442138671875,0.4423828125,0.00021457672119140625,0.0295562744140625,0.03271484375,-0.00022876262664794922,-0.00020265579223632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.384185791015625e-07,-7.62939453125e-06,4.76837158203125e-07,100.0625,-0.00048828125,0.0009765625
