Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024485988542437553,3.700292290886864e-05,0.00310470350086689,0.007589899934828281,3.97271869587712e-05,0.01808682642877102,1.719066858640872e-05,0.0038203056901693344,-6.270115409279242e-05,0.0265902541577816,0.022531922906637192,3.085529442614643e-06,2.545891584304627e-05,0.0034080669283866882,0.0028084858786314726,0.01082118134945631,0.009239258244633675,0.0002623218751978129,0.001408289885148406,7.737152373010758e-06,0.00010742505401140079,5.2733719257958e-07,0.000251594465225935,0.046528469771146774,0.04379187524318695,0.01605638861656189,0.015732809901237488,5.157679424883099e-06,-2.5531946448609233e-05,0.04025711864233017,0.016364771872758865,0.01641908474266529,3.820888014161028e-05,0.008829018101096153,0.010306290350854397,0.00029539517709054053,0.0025439136661589146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0054907306766836e-06,-4.6263158992587705e-07,4.5793132130711456e-07,4.5890921285263175e-08,20.008872985839844,0.0007691622013226151,0.0013560533989220858
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005339941009879112,7.39899551263079e-05,0.007379923015832901,0.01980862021446228,6.737251533195376e-05,0.045580387115478516,9.70596829574788e-06,0.007529877126216888,-0.00011502932466100901,0.05413501337170601,0.04683850333094597,-4.285264822101453e-06,4.683157749241218e-05,0.006867682095617056,0.005700675304979086,0.024139955639839172,0.02196962758898735,0.0002740746713243425,0.0026656431145966053,-3.287078652647324e-05,0.00047731801168993115,-2.606906127766706e-05,0.0004924397217109799,0.11233584582805634,0.1067909449338913,0.04326324909925461,0.04283470660448074,-8.855462283463567e-07,-5.7040335377678275e-05,0.07736625522375107,0.033329181373119354,0.033444758504629135,2.493779538781382e-05,0.018795598298311234,0.021924111992120743,0.0030685695819556713,0.009189476259052753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8463236983734532e-06,-1.1588738288992317e-06,1.6917474567890167e-06,4.345842228303809e-07,40.038490295410156,0.0021521567832678556,0.003751611802726984
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008489992469549179,0.00011100011033704504,0.012462535873055458,0.038896746933460236,0.00010532312444411218,0.07914801687002182,3.161923086736351e-05,0.01093106810003519,-0.0001535219489596784,0.08471161127090454,0.07523304224014282,-8.503569915774278e-06,6.49365974823013e-05,0.010471169836819172,0.008744667284190655,0.04176369309425354,0.03979106247425079,0.0003595467424020171,0.0037470601964741945,-5.4854772315593436e-05,0.0007652516942471266,-5.6684642913751304e-05,0.0007298244745470583,0.20488685369491577,0.19666990637779236,0.08371200412511826,0.08391348272562027,-2.57900665019406e-05,-0.00010344368638470769,0.11136238276958466,0.051545314490795135,0.05171006917953491,5.9871799749089405e-05,0.030024860054254532,0.03519792854785919,0.009026199579238892,0.019809408113360405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8338167794572655e-06,-1.6212346736210748e-06,3.359885795362061e-06,2.1797575300297467e-06,60.08232498168945,0.00355203147046268,0.007536577992141247
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013466836884617805,0.00014800425560679287,0.017873283475637436,0.06082282215356827,0.00012674274330493063,0.10149240493774414,3.65446976502426e-05,0.014408868737518787,-0.00019548495765775442,0.12422657012939453,0.11217917501926422,-1.8888488284574123e-06,8.388179412577301e-05,0.015264933928847313,0.012952333316206932,0.06558720022439957,0.0629328042268753,0.000430944433901459,0.004761101678013802,-0.00014234498667065054,0.001325078890658915,-0.00011538356920937076,0.000953103881329298,0.3024826645851135,0.29131123423576355,0.1236516460776329,0.12403378635644913,-3.856766124954447e-05,-0.00012915300612803549,0.14184340834617615,0.07086212188005447,0.07108461856842041,6.898191350046545e-05,0.04247106611728668,0.0496930368244648,0.017939910292625427,0.03345956653356552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4958201215195e-06,-1.704797568891081e-06,5.228258487477433e-06,3.1739473342895508e-06,80.1287612915039,0.00536270160228014,0.011714649386703968
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020531870424747467,0.0001849957334343344,0.022845420986413956,0.08504294604063034,0.00019200165115762502,0.11359693855047226,5.659269299940206e-05,0.017921632155776024,-0.00023263653565663844,0.1716124415397644,0.15705542266368866,3.523158738971688e-05,0.00011878304212586954,0.021791161969304085,0.018934661522507668,0.09277857840061188,0.08876136690378189,0.0005402493407018483,0.00584591506049037,-0.00020243976905476302,0.0010321689769625664,-0.00016169152513612062,0.0012029435019940138,0.40465691685676575,0.39022380113601685,0.16417278349399567,0.16427235305309296,1.9453466393315466e-06,-0.000103181300801225,0.16799397766590118,0.09040345251560211,0.09068284183740616,0.00012592713756021112,0.05675904452800751,0.06607892364263535,0.03132956475019455,0.05105579271912575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.292655598372221e-06,-1.5719706425443292e-06,6.006332114338875e-06,3.836234100162983e-06,100.10484313964844,0.0004496574401855469,0.009423136711120605
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02410309389233589,0.00018496729899197817,0.0233114305883646,0.0936911329627037,0.00016603339463472366,0.10339339077472687,5.7094563089776784e-05,0.018292969092726707,-0.0002288257092004642,0.18557757139205933,0.17062141001224518,5.821543891215697e-05,0.00013642899284604937,0.024167265743017197,0.021280784159898758,0.10420148074626923,0.09949303418397903,0.000512433354742825,0.005627989768981934,-0.00020507279259618372,0.0010458244942128658,-0.00012965068162884563,0.0012582686031237245,0.427839994430542,0.41234004497528076,0.16989165544509888,0.16953963041305542,1.0793060027936008e-05,-8.227199577959254e-05,0.15808823704719543,0.09109888970851898,0.09138861298561096,4.7234185331035405e-05,0.060179419815540314,0.06940880417823792,0.036916427314281464,0.057121723890304565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.4399209804832935e-06,-1.7283018678426743e-06,4.901783540844917e-06,4.110319423489273e-06,100.0816650390625,-0.0024193525314331055,0.005648136138916016
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028176911175251007,0.0001851048436947167,0.02443014644086361,0.11056620627641678,0.00016047287499532104,0.0915314108133316,8.856045315042138e-05,0.01912032812833786,-0.0002156345290131867,0.19821999967098236,0.18285396695137024,6.403225415851921e-05,0.00016876630252227187,0.027574649080634117,0.024879198521375656,0.11608590930700302,0.11220386624336243,0.000524400151334703,0.005577568430453539,-0.0001725274632917717,0.0010697250254452229,-7.270093919942155e-05,0.0013131292071193457,0.45753055810928345,0.4405285716056824,0.17074233293533325,0.17041341960430145,5.866035644430667e-05,-5.545586463995278e-05,0.15082892775535583,0.09198048710823059,0.092276431620121,8.86838915903354e-06,0.06411247700452805,0.07353382557630539,0.04065572842955589,0.06020535156130791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.558307748287916e-06,-1.3724493328481913e-06,4.637287929654121e-06,5.920650437474251e-06,100.03768157958984,-0.009543299674987793,-0.0015159845352172852
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034262824803590775,0.0001851556880865246,0.024827394634485245,0.14127348363399506,0.00010128070425707847,0.07504797726869583,8.540497947251424e-05,0.020176498219370842,-0.00016592694737482816,0.21658208966255188,0.2000472992658615,7.531779556302354e-05,0.00016437940939795226,0.032024119049310684,0.029093783348798752,0.1256835013628006,0.12249111384153366,0.00044775873539038,0.00560192484408617,-0.00016989413416013122,0.000926074804738164,-4.2692088754847646e-05,0.0013460092013701797,0.49426373839378357,0.47635042667388916,0.1659020632505417,0.1651381254196167,0.00010279462003381923,-8.651584357721731e-05,0.14293856918811798,0.0945221409201622,0.09479201585054398,-9.282778773922473e-05,0.06753170490264893,0.07735323160886765,0.041100651025772095,0.060183506458997726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.543639417737722e-06,-9.022478479892015e-07,6.358372047543526e-06,8.06787284091115e-06,100.04641723632812,-0.011146903038024902,-0.003285646438598633
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04456564038991928,0.00018525830819271505,0.02515818178653717,0.18742021918296814,0.0001371835678583011,0.0639696717262268,0.0001036904941429384,0.019746731966733932,-0.00011597929551498964,0.22426959872245789,0.2106965035200119,8.455890201730654e-05,0.00016409628733526915,0.038413044065237045,0.03513976186513901,0.13271796703338623,0.12723638117313385,0.00039740800275467336,0.0057239532470703125,-0.00016660276742186397,0.0006656346959061921,4.214271939417813e-06,0.0014453864423558116,0.5311353802680969,0.5132715106010437,0.15308433771133423,0.15309488773345947,9.686932025942951e-05,-9.751170728122815e-05,0.1329362690448761,0.09395434707403183,0.09418807178735733,-0.0003413491358514875,0.0680505782365799,0.07810814678668976,0.03663968667387962,0.0543120801448822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.287285264581442e-06,-9.289651643484831e-07,5.68595714867115e-06,9.099807357415557e-06,100.0072250366211,-0.011554360389709473,-0.005135536193847656
