Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018854944501072168,3.7335044908104464e-05,0.002417912008240819,0.019358759745955467,0.008666270412504673,0.015863262116909027,5.657100700773299e-05,0.0018506438937038183,-9.193718142341822e-06,0.02048996090888977,0.021364983171224594,-1.313585107709514e-05,-3.299713284832251e-07,0.004801425151526928,0.004716840572655201,0.015922684222459793,0.016009923070669174,0.0005744619411416352,0.0018972132820636034,-4.624843313649762e-06,-2.237296212115325e-05,9.258442878490314e-05,0.00014736992307007313,0.04175816476345062,0.041436612606048584,0.0048066903837025166,0.005053702276200056,-1.6544818208785728e-05,-4.3476105929585174e-05,0.030058030039072037,0.024288229644298553,0.024302486330270767,0.00013882535859011114,0.006533763371407986,0.0076783448457717896,-9.565353593643522e-07,6.745767313987017e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.629875421524048e-07,-3.7909484262854676e-07,1.1265277635175153e-06,2.350192573885579e-07,20.034912109375,0.0006892681121826172,0.0019297599792480469
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004328506998717785,7.464824739145115e-05,0.007191856391727924,0.05674199014902115,0.0116577772423625,0.050551675260066986,7.089096470735967e-05,0.003696626052260399,-1.0519504940020852e-05,0.03961256518959999,0.04261470213532448,-2.0063400370418094e-05,9.083270924747922e-06,0.010254195891320705,0.010001623071730137,0.03447273373603821,0.03472147136926651,0.00010605144780129194,0.0037438857834786177,-2.1835565348737873e-05,-4.230975901009515e-05,0.00013967740233056247,0.0002552314836066216,0.11402644217014313,0.11228881031274796,0.01876681111752987,0.019824203103780746,-1.1528014510986395e-05,-6.71415327815339e-05,0.05835284665226936,0.05384695529937744,0.053865570574998856,0.00018813023052643985,0.013782255351543427,0.016007374972105026,-6.056880738469772e-05,0.0002111420762958005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0422041870915564e-06,-5.426816755971231e-07,2.1010637283325195e-06,2.529146058805054e-06,40.056121826171875,0.00120372767560184,0.003923940472304821
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007614839822053909,0.00011196311970707029,0.013227563351392746,0.10107537358999252,0.013538474217057228,0.08993146568536758,7.445901428582147e-05,0.005000781267881393,-2.9821514544892125e-05,0.05795316398143768,0.06462913006544113,-4.9427300837123767e-05,1.589405474078376e-05,0.015599505975842476,0.015206958167254925,0.054671742022037506,0.05568228289484978,6.136750744190067e-05,0.005164331756532192,-2.5511382773402147e-05,-0.00011223077308386564,0.00012629757111426443,0.0003663469396997243,0.1979551464319229,0.19441631436347961,0.03711565211415291,0.039162538945674896,3.100490721408278e-05,-8.615970727987587e-05,0.08517646044492722,0.08671918511390686,0.08673401921987534,0.00010163002298213542,0.022493932396173477,0.025858525186777115,-0.00015921163139864802,0.00044792747939936817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4298748232686194e-06,-1.2026633839923306e-06,3.159418611176079e-06,3.657513389043743e-06,60.05479049682617,0.005906009580940008,0.007261848542839289
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011516837403178215,0.00014922230911906809,0.02036426216363907,0.14677438139915466,0.014328978955745697,0.1264287829399109,5.144596070749685e-05,0.006566401571035385,-2.359616701141931e-05,0.08194675296545029,0.09137759357690811,-4.6367647883016616e-05,3.177046892233193e-05,0.021983539685606956,0.021465104073286057,0.07632537186145782,0.0777607411146164,6.522751209558919e-05,0.006596047431230545,-2.4852275601006113e-05,-9.316062642028555e-05,0.00010377680882811546,0.0004215349326841533,0.28502970933914185,0.27952873706817627,0.05635688826441765,0.05931616947054863,6.758260860806331e-05,-5.6669232435524464e-05,0.1114610880613327,0.11857329308986664,0.11859659105539322,5.052441338193603e-05,0.029890935868024826,0.03458116203546524,-0.00020184039021842182,0.0006742629921063781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.820393653266365e-06,-1.96751216208213e-06,3.75062222701672e-06,5.755294296250213e-06,80.05045318603516,0.012783813290297985,0.010934066958725452
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015957685187458992,0.00018647890829015523,0.0272450540214777,0.19010791182518005,0.01494926679879427,0.15998436510562897,2.3218393835122697e-05,0.00789787620306015,2.1711364752263762e-05,0.10973068326711655,0.12392113357782364,-6.957471487112343e-05,2.2073090804042295e-05,0.028667859733104706,0.027914857491850853,0.09813284128904343,0.09961435198783875,4.651069684769027e-05,0.008062448352575302,-6.337344530038536e-05,-9.420633432455361e-05,0.0001067535558831878,0.0005596412229351699,0.37118110060691833,0.3640679121017456,0.0776381716132164,0.0821060910820961,4.42069758719299e-05,-0.00012620390043593943,0.13853374123573303,0.14861030876636505,0.14862917363643646,-6.589710392290726e-05,0.0389380007982254,0.04512445628643036,-0.00029493094189092517,0.0012646883260458708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.201917469501495e-06,-2.718181349337101e-06,6.647780537605286e-06,5.950103513896465e-06,100.05559539794922,0.018463969230651855,0.013296127319335938
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01683708466589451,0.00018638283654581755,0.0296532791107893,0.18685436248779297,0.013085040263831615,0.15512065589427948,3.44276413670741e-05,0.007104141637682915,5.63981375307776e-05,0.11981620639562607,0.13385167717933655,-7.009506225585938e-05,3.5106240829918534e-05,0.029732655733823776,0.028932739049196243,0.0972309410572052,0.10032470524311066,-1.9098521079286e-05,0.007950237020850182,-8.841633825795725e-05,-0.000104373692010995,3.178246333845891e-05,0.0004852156271226704,0.3785441517829895,0.3719496428966522,0.08291833847761154,0.08817397058010101,-6.28471389063634e-06,-0.00013515830505639315,0.13726188242435455,0.1459207683801651,0.14593201875686646,-3.7737285310868174e-05,0.039293915033340454,0.046091675758361816,0.00015886902110651135,0.0044791181571781635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5695494413375854e-06,-2.662884071469307e-06,4.975125193595886e-06,5.7462602853775024e-06,100.04740905761719,0.021413564682006836,0.015730619430541992
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181698277592659,0.00018642448412720114,0.031294722110033035,0.1669076532125473,0.010660778731107712,0.1453656703233719,-6.734133057761937e-05,0.006917827297002077,7.540866499766707e-05,0.12877140939235687,0.14209270477294922,-9.93949142866768e-05,5.120634887134656e-05,0.03022588975727558,0.029464133083820343,0.0933091938495636,0.09766563773155212,-6.213784217834473e-05,0.007683543488383293,-0.00014962076966185123,-0.0001146239010267891,-9.613595466362312e-06,0.0004811190883629024,0.3490373194217682,0.3440708518028259,0.0888703316450119,0.09422410279512405,-3.8208960177144036e-05,-0.0001635372609598562,0.13688096404075623,0.14529502391815186,0.14529743790626526,2.361070437473245e-05,0.040902480483055115,0.048261042684316635,0.0005676901200786233,0.007247811648994684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.446374416351318e-06,-3.2975804060697556e-06,3.416091203689575e-06,4.6622008085250854e-06,100.05523681640625,0.02070450782775879,0.017064809799194336
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018408821895718575,0.0001863915240392089,0.03282279521226883,0.1437453031539917,0.009490293450653553,0.1383451521396637,-4.719734351965599e-05,0.006705990061163902,9.91585839074105e-05,0.13200877606868744,0.14423488080501556,-0.00011123836156912148,4.7594308853149414e-05,0.030027499422430992,0.02941526472568512,0.09040703624486923,0.09744659066200256,-7.63142088544555e-05,0.007241109386086464,-0.0001513344031991437,-0.00014653443940915167,-7.474906851712149e-06,0.0004729235952254385,0.312353253364563,0.30942633748054504,0.0905003771185875,0.095668725669384,-3.0106306439847685e-05,-0.0001268005435122177,0.13613054156303406,0.14747239649295807,0.14747284352779388,0.00010378476144978777,0.04216306656599045,0.049961622804403305,0.001497757388278842,0.00944597739726305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.363486707210541e-06,-3.236345946788788e-06,4.116445779800415e-06,3.3248215913772583e-06,100.02313995361328,0.016241073608398438,0.014941096305847168
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018884405493736267,0.00018639647169038653,0.03332250937819481,0.12146817147731781,0.008912257850170135,0.1373581886291504,-1.941442496899981e-05,0.006829811260104179,9.275294723920524e-05,0.1253424733877182,0.13729910552501678,-9.605049854144454e-05,4.4082404201617464e-05,0.029471859335899353,0.028826799243688583,0.08920762687921524,0.0977443978190422,-1.3564229448093101e-05,0.00683968048542738,-0.00020437360217329115,-8.645832713227719e-05,-3.16941732307896e-05,0.0004420412296894938,0.2751179039478302,0.2753068208694458,0.08807403594255447,0.09220309555530548,5.855560175405117e-06,-9.93728608591482e-05,0.13471847772598267,0.15038996934890747,0.15040047466754913,-4.025485395686701e-05,0.04284022003412247,0.05052712932229042,0.0030116159468889236,0.010253817774355412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.444511771202087e-06,-2.2230669856071472e-06,3.4477561712265015e-06,1.6137491911649704e-06,99.99776458740234,0.01048421859741211,0.010158061981201172
