Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016508102416992188,3.7550926208496094e-05,0.00461578369140625,0.0156402587890625,0.00010508298873901367,0.023529052734375,0.002590179443359375,-8.112192153930664e-05,0.00015735626220703125,0.029144287109375,0.0308074951171875,-3.641843795776367e-05,-0.0,0.002559661865234375,0.002887725830078125,0.004230499267578125,0.00528717041015625,-2.6464462280273438e-05,0.0003376007080078125,-1.3947486877441406e-05,0.0004911422729492188,0.0004582405090332031,0.0005693435668945312,0.047637939453125,0.048675537109375,0.0182342529296875,0.0195770263671875,0.03509521484375,0.035064697265625,0.00492095947265625,6.9141387939453125e-06,3.337860107421875e-06,-3.4332275390625e-05,0.015655517578125,0.0193634033203125,0.01454925537109375,0.016693115234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,2.384185791015625e-07,1.5497207641601562e-06,-1.1920928955078125e-07,19.515625,0.49853515625,-0.0023441314697265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003551483154296875,7.50422477722168e-05,0.0093231201171875,0.033905029296875,0.0001838207244873047,0.04595947265625,0.00579833984375,-0.0001481771469116211,0.00035643577575683594,0.06109619140625,0.06402587890625,-6.496906280517578e-05,1.609325408935547e-05,0.005695343017578125,0.006397247314453125,0.01006317138671875,0.0114288330078125,-4.857778549194336e-05,0.000637054443359375,-1.8835067749023438e-05,0.0013675689697265625,0.0008916854858398438,0.0011339187622070312,0.0989990234375,0.0999755859375,0.038177490234375,0.040985107421875,0.072509765625,0.0723876953125,0.0088958740234375,3.528594970703125e-05,2.4318695068359375e-05,-5.5670738220214844e-05,0.03204345703125,0.03961181640625,0.029388427734375,0.033660888671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.086162567138672e-06,1.0132789611816406e-06,1.5497207641601562e-06,3.5762786865234375e-07,38.3125,1.732421875,-0.00547027587890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00540924072265625,0.0001125335693359375,0.01367950439453125,0.0535888671875,0.00025963783264160156,0.06683349609375,0.0082244873046875,-0.0002002716064453125,0.0005345344543457031,0.0947265625,0.0986328125,-0.00010401010513305664,2.7000904083251953e-05,0.00885772705078125,0.00997161865234375,0.0169677734375,0.018951416015625,-5.4776668548583984e-05,0.000942230224609375,1.8596649169921875e-05,0.002773284912109375,0.0013093948364257812,0.0016946792602539062,0.1552734375,0.1561279296875,0.0599365234375,0.06402587890625,0.116455078125,0.1162109375,0.0165863037109375,0.0011005401611328125,0.0011005401611328125,-5.0902366638183594e-05,0.04925537109375,0.06060791015625,0.0457763671875,0.05224609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,9.5367431640625e-07,-2.2649765014648438e-06,7.748603820800781e-07,56.8125,3.25,-0.018463134765625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00836181640625,0.00015079975128173828,0.01800537109375,0.0748291015625,0.0002617835998535156,0.08251953125,0.006999969482421875,-0.00024318695068359375,0.0006055831909179688,0.134521484375,0.136474609375,-0.0001342296600341797,1.7762184143066406e-05,0.01273345947265625,0.01432037353515625,0.02294921875,0.0250701904296875,-5.543231964111328e-05,0.0012378692626953125,-3.0159950256347656e-05,0.003025054931640625,0.0016326904296875,0.002101898193359375,0.214599609375,0.2142333984375,0.0843505859375,0.08978271484375,0.1646728515625,0.164306640625,0.022186279296875,1.3947486877441406e-05,1.150369644165039e-05,-0.0002601146697998047,0.0677490234375,0.08306884765625,0.06256103515625,0.0711669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.039836883544922e-06,1.1324882507324219e-06,-3.039836883544922e-06,2.0265579223632812e-06,80.0625,-0.00547027587890625,0.01132965087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01087188720703125,0.00018799304962158203,0.0225982666015625,0.09747314453125,0.00035834312438964844,0.09796142578125,0.0030345916748046875,-0.00016176700592041016,0.0010385513305664062,0.1778564453125,0.177978515625,-0.0001550912857055664,-2.6881694793701172e-05,0.0166168212890625,0.0186767578125,0.025726318359375,0.0282745361328125,-4.118680953979492e-05,0.0015993118286132812,-9.322166442871094e-05,0.0031223297119140625,0.0019235610961914062,0.002529144287109375,0.27880859375,0.2783203125,0.10943603515625,0.115478515625,0.2198486328125,0.2197265625,0.02728271484375,2.473592758178711e-05,5.0961971282958984e-05,-0.0003571510314941406,0.08929443359375,0.1085205078125,0.08123779296875,0.0926513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,4.76837158203125e-07,-1.9073486328125e-06,2.384185791015625e-06,96.8125,3.234375,-0.01318359375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01080322265625,0.00018846988677978516,0.0217742919921875,0.09686279296875,0.00021910667419433594,0.087890625,0.0020198822021484375,-0.00017273426055908203,0.0006074905395507812,0.1865234375,0.18505859375,-0.00014853477478027344,-1.1622905731201172e-05,0.0177001953125,0.0198516845703125,0.02459716796875,0.0257415771484375,9.644031524658203e-05,0.001750946044921875,-8.374452590942383e-05,0.003261566162109375,0.0021076202392578125,0.002696990966796875,0.281005859375,0.27880859375,0.10943603515625,0.115478515625,0.2271728515625,0.2269287109375,0.0269927978515625,-4.851818084716797e-05,-5.4001808166503906e-05,-0.0003211498260498047,0.0889892578125,0.1082763671875,0.081298828125,0.091552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,2.384185791015625e-07,-1.1444091796875e-05,4.172325134277344e-06,99.25,0.8671875,0.0087890625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010711669921875,0.0001875162124633789,0.0221099853515625,0.09552001953125,0.00037789344787597656,0.08087158203125,0.004261016845703125,-0.00020205974578857422,0.0006642341613769531,0.194091796875,0.1932373046875,-0.0001512765884399414,5.4955482482910156e-05,0.018402099609375,0.02056884765625,0.0242919921875,0.0258636474609375,-6.622076034545898e-05,0.0014896392822265625,-5.936622619628906e-05,0.0034332275390625,0.00206756591796875,0.0027027130126953125,0.276611328125,0.275390625,0.10772705078125,0.11346435546875,0.2359619140625,0.23583984375,0.029388427734375,-2.4080276489257812e-05,-2.7179718017578125e-05,-0.00020778179168701172,0.0904541015625,0.11053466796875,0.08282470703125,0.0926513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,2.384185791015625e-07,0.0,2.5033950805664062e-06,95.0625,4.9921875,0.01220703125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01067352294921875,0.00018846988677978516,0.0213470458984375,0.09039306640625,0.00033926963806152344,0.07183837890625,0.004291534423828125,-0.00015056133270263672,0.0007624626159667969,0.200439453125,0.1986083984375,-0.00016117095947265625,1.4603137969970703e-05,0.0187835693359375,0.0211334228515625,0.021484375,0.023101806640625,4.172325134277344e-06,0.0017833709716796875,-0.00010085105895996094,0.0022945404052734375,0.0023174285888671875,0.0029392242431640625,0.2705078125,0.2705078125,0.10430908203125,0.1097412109375,0.2420654296875,0.24169921875,0.029693603515625,-7.295608520507812e-05,-0.0001150369644165039,-5.4955482482910156e-05,0.0914306640625,0.11102294921875,0.08258056640625,0.0924072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,1.9073486328125e-06,0.0,1.9073486328125e-06,99.25,0.85888671875,0.00244140625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01059722900390625,0.00018680095672607422,0.022369384765625,0.0892333984375,0.0003337860107421875,0.06719970703125,0.004764556884765625,-0.0002435445785522461,0.0007758140563964844,0.20703125,0.20654296875,0.0007395744323730469,0.0021991729736328125,0.01953125,0.0220184326171875,0.0199127197265625,0.0212554931640625,-5.888938903808594e-05,0.0017061233520507812,-0.00015091896057128906,0.001995086669921875,0.00223541259765625,0.0028839111328125,0.26953125,0.270263671875,0.10272216796875,0.108642578125,0.2509765625,0.250732421875,0.03167724609375,-0.00010710954666137695,-0.00013947486877441406,-4.9114227294921875e-05,0.0926513671875,0.11322021484375,0.08575439453125,0.095947265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,1.5497207641601562e-06,5.7220458984375e-06,2.1457672119140625e-06,92.0,8.171875,0.01513671875
