Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005979537963867188,3.790855407714844e-05,0.0006432533264160156,0.0005159378051757812,0.00019037723541259766,0.0001499652862548828,0.0019054412841796875,3.0994415283203125e-05,0.0017728805541992188,0.0245361328125,0.025177001953125,-2.2172927856445312e-05,1.1920928955078125e-06,0.003093719482421875,0.0034580230712890625,0.0013561248779296875,0.00031566619873046875,0.000946044921875,0.000453948974609375,0.0013837814331054688,0.002246856689453125,0.0011835098266601562,0.0015058517456054688,0.0186309814453125,0.020477294921875,0.00543212890625,0.006519317626953125,0.1478271484375,0.1478271484375,0.058685302734375,1.3589859008789062e-05,5.125999450683594e-06,0.0007004737854003906,0.018707275390625,0.023895263671875,0.0174560546875,0.0210418701171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,1.7881393432617188e-07,1.1324882507324219e-06,-8.344650268554688e-07,20.015625,0.001953125,0.0020503997802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010223388671875,7.593631744384766e-05,0.0012378692626953125,0.0010833740234375,0.0003635883331298828,0.000766754150390625,0.00525665283203125,5.745887756347656e-05,0.003665924072265625,0.049346923828125,0.051116943359375,-4.076957702636719e-05,2.002716064453125e-05,0.006168365478515625,0.00691986083984375,0.0018968582153320312,0.0004496574401855469,0.0011186599731445312,0.0008063316345214844,0.00311279296875,0.00475311279296875,0.00254058837890625,0.0031986236572265625,0.0367431640625,0.04052734375,0.0106658935546875,0.0129241943359375,0.294921875,0.294921875,0.11444091796875,2.5093555450439453e-05,1.049041748046875e-05,0.001476287841796875,0.03765869140625,0.04803466796875,0.036407470703125,0.043853759765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,3.5762786865234375e-07,2.2649765014648438e-06,-2.1457672119140625e-06,40.03125,0.0003905296325683594,0.0068359375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014486312866210938,0.00011402368545532227,0.0018177032470703125,0.0016469955444335938,0.0004944801330566406,0.002330780029296875,0.010284423828125,7.18832015991211e-05,0.00555419921875,0.07318115234375,0.0772705078125,-7.027387619018555e-05,1.609325408935547e-05,0.00902557373046875,0.010223388671875,0.0022754669189453125,0.0005941390991210938,0.0011463165283203125,0.00125885009765625,0.004924774169921875,0.0072174072265625,0.004093170166015625,0.005084991455078125,0.053955078125,0.059539794921875,0.0159454345703125,0.0196685791015625,0.44189453125,0.44140625,0.16845703125,1.8477439880371094e-05,-6.735324859619141e-06,0.0023059844970703125,0.055633544921875,0.0712890625,0.055084228515625,0.06610107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.993511199951172e-06,-5.960464477539062e-07,1.1324882507324219e-06,-3.159046173095703e-06,60.03125,0.0087890625,0.0099639892578125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00189971923828125,0.0001519918441772461,0.0023593902587890625,0.0024356842041015625,0.0006074905395507812,0.004619598388671875,0.016693115234375,6.335973739624023e-05,0.007495880126953125,0.09600830078125,0.10321044921875,-0.00010442733764648438,3.260374069213867e-05,0.0114898681640625,0.01312255859375,0.003269195556640625,0.000942230224609375,0.0009565353393554688,0.0015344619750976562,0.006732940673828125,0.0098724365234375,0.00582122802734375,0.007152557373046875,0.07073974609375,0.078125,0.0216522216796875,0.0267333984375,0.587890625,0.587890625,0.2193603515625,5.710124969482422e-05,3.731250762939453e-05,0.00308990478515625,0.0738525390625,0.09515380859375,0.0748291015625,0.0899658203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-1.6093254089355469e-06,4.589557647705078e-06,-4.172325134277344e-06,80.0625,0.00937652587890625,0.016021728515625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023956298828125,0.0001900196075439453,0.00290679931640625,0.00313568115234375,0.0007877349853515625,0.006275177001953125,0.0256500244140625,0.00010472536087036133,0.00975799560546875,0.1177978515625,0.1287841796875,-0.0001266002655029297,3.600120544433594e-05,0.01413726806640625,0.016265869140625,0.00325775146484375,0.0009264945983886719,0.0011148452758789062,0.00194549560546875,0.007305145263671875,0.0114288330078125,0.007549285888671875,0.0092315673828125,0.08740234375,0.0968017578125,0.0265045166015625,0.0333251953125,0.73291015625,0.73291015625,0.269287109375,6.985664367675781e-05,3.325939178466797e-05,0.00395965576171875,0.0924072265625,0.1195068359375,0.094482421875,0.11376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.6689300537109375e-06,3.814697265625e-06,-5.0067901611328125e-06,100.0,0.021240234375,0.015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002117156982421875,0.0001901388168334961,0.002895355224609375,0.003276824951171875,0.0006957054138183594,0.0087127685546875,0.02520751953125,-0.00011390447616577148,0.00991058349609375,0.11572265625,0.12841796875,-0.0001552104949951172,3.0517578125e-05,0.01430511474609375,0.0164794921875,0.003009796142578125,0.0007114410400390625,0.0011730194091796875,0.0018625259399414062,0.00655364990234375,0.0111541748046875,0.007450103759765625,0.009124755859375,0.08697509765625,0.095947265625,0.026153564453125,0.0328369140625,0.73388671875,0.73291015625,0.266845703125,4.8995018005371094e-05,-2.104043960571289e-05,0.004100799560546875,0.0931396484375,0.120849609375,0.0965576171875,0.11627197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,3.5762786865234375e-07,1.33514404296875e-05,-5.841255187988281e-06,100.125,0.02294921875,0.02685546875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020465850830078125,0.0001901388168334961,0.00275421142578125,0.0034618377685546875,0.0006580352783203125,0.007671356201171875,0.024017333984375,-6.657838821411133e-05,0.00988006591796875,0.11444091796875,0.12890625,-0.00015866756439208984,1.9490718841552734e-05,0.01416778564453125,0.01629638671875,0.004405975341796875,0.0014219284057617188,0.0021953582763671875,0.0019140243530273438,0.005767822265625,0.01050567626953125,0.00739288330078125,0.00905609130859375,0.0870361328125,0.09600830078125,0.0255126953125,0.032012939453125,0.73291015625,0.73291015625,0.263427734375,-1.1265277862548828e-05,-4.0590763092041016e-05,0.004024505615234375,0.09368896484375,0.12158203125,0.0982666015625,0.11798095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-9.5367431640625e-07,1.9073486328125e-06,-5.0067901611328125e-06,100.125,0.017578125,0.01708984375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019474029541015625,0.0001901388168334961,0.002552032470703125,0.0030574798583984375,0.0007214546203613281,0.00811004638671875,0.0259552001953125,-5.364418029785156e-07,0.00991058349609375,0.113525390625,0.1298828125,-0.0001672506332397461,3.1113624572753906e-05,0.01442718505859375,0.0165557861328125,0.0048828125,0.0013856887817382812,0.0022430419921875,0.002117156982421875,0.00371551513671875,0.00891876220703125,0.0076141357421875,0.00930023193359375,0.08880615234375,0.09814453125,0.0252532958984375,0.031982421875,0.73291015625,0.73291015625,0.2607421875,2.980232238769531e-07,-7.599592208862305e-05,0.004215240478515625,0.09375,0.1219482421875,0.0992431640625,0.118896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.1920928955078125e-06,1.52587890625e-05,-4.5299530029296875e-06,100.125,0.016845703125,0.02001953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019550323486328125,0.00019025802612304688,0.0024547576904296875,0.003452301025390625,0.0006232261657714844,0.008575439453125,0.0232086181640625,0.00013971328735351562,0.00994873046875,0.11077880859375,0.1273193359375,-0.00017213821411132812,-4.887580871582031e-06,0.01412200927734375,0.01617431640625,0.005706787109375,0.00167083740234375,0.00299835205078125,0.00263214111328125,0.00348663330078125,0.00890350341796875,0.00771331787109375,0.00939178466796875,0.09271240234375,0.1021728515625,0.0264892578125,0.033721923828125,0.73388671875,0.73291015625,0.261962890625,-3.0219554901123047e-05,-7.599592208862305e-05,0.004131317138671875,0.093505859375,0.1214599609375,0.09942626953125,0.118896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-9.5367431640625e-07,3.814697265625e-06,-3.933906555175781e-06,100.125,0.009765625,0.015625
