Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031528472900390625,3.7610530853271484e-05,0.003204345703125,0.005229949951171875,0.0001055598258972168,0.000270843505859375,5.555152893066406e-05,0.0001266002655029297,0.00036787986755371094,0.048858642578125,0.0478515625,-1.2934207916259766e-05,-3.1113624572753906e-05,0.007762908935546875,0.00839996337890625,0.0025997161865234375,0.0029315948486328125,9.065866470336914e-05,0.0010356903076171875,6.711483001708984e-05,0.0010938644409179688,0.0004649162292480469,0.0006299018859863281,0.024322509765625,0.0243682861328125,0.00959014892578125,0.00972747802734375,0.0191497802734375,0.01910400390625,0.005313873291015625,1.2278556823730469e-05,5.781650543212891e-06,0.00010406970977783203,0.01593017578125,0.0193023681640625,0.0109710693359375,0.01232147216796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.086162567138672e-06,-2.980232238769531e-07,1.5497207641601562e-06,-9.5367431640625e-07,20.03125,-0.0001952648162841797,0.0011720657348632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053863525390625,7.534027099609375e-05,0.00533294677734375,0.01024627685546875,0.0018520355224609375,0.0004527568817138672,0.00011652708053588867,0.0002713203430175781,0.0007624626159667969,0.0914306640625,0.0899658203125,-1.7523765563964844e-05,-6.783008575439453e-05,0.0150146484375,0.0162506103515625,0.0053253173828125,0.005939483642578125,0.0002243518829345703,0.0022678375244140625,0.00013554096221923828,0.0020465850830078125,0.0008783340454101562,0.0012111663818359375,0.04559326171875,0.04583740234375,0.0162200927734375,0.016571044921875,0.03826904296875,0.038177490234375,0.01233673095703125,2.9921531677246094e-05,1.4781951904296875e-05,0.0002428293228149414,0.031005859375,0.037750244140625,0.02032470703125,0.0232696533203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-3.5762786865234375e-07,0.0,-2.4437904357910156e-06,40.0625,0.00390625,0.0033206939697265625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073089599609375,0.00011289119720458984,0.00682830810546875,0.0157318115234375,0.005634307861328125,0.0006928443908691406,0.00018656253814697266,0.0005145072937011719,0.0013151168823242188,0.1302490234375,0.127685546875,-2.4497509002685547e-05,-0.00012433528900146484,0.0218048095703125,0.023590087890625,0.008392333984375,0.009307861328125,0.0004372596740722656,0.0038700103759765625,0.00019371509552001953,0.0030345916748046875,0.0012569427490234375,0.0017375946044921875,0.0667724609375,0.06781005859375,0.0218658447265625,0.0225067138671875,0.0540771484375,0.05401611328125,0.0188446044921875,4.011392593383789e-05,3.463029861450195e-05,0.00021123886108398438,0.045257568359375,0.055633544921875,0.0286865234375,0.03265380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-3.5762786865234375e-07,7.987022399902344e-06,-2.5033950805664062e-06,60.125,0.0105438232421875,0.0035152435302734375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096588134765625,0.00015044212341308594,0.00787353515625,0.0234527587890625,0.0111541748046875,0.004573822021484375,0.0002428293228149414,0.000885009765625,0.0018310546875,0.168212890625,0.165283203125,-3.361701965332031e-05,-0.00016701221466064453,0.0287628173828125,0.031097412109375,0.013671875,0.0149688720703125,0.0012969970703125,0.005710601806640625,0.00026226043701171875,0.00411224365234375,0.0016508102416992188,0.0023250579833984375,0.09014892578125,0.091064453125,0.027252197265625,0.028167724609375,0.0665283203125,0.06646728515625,0.026458740234375,6.80685043334961e-05,7.396936416625977e-05,0.000370025634765625,0.058197021484375,0.0718994140625,0.03643798828125,0.04156494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.430511474609375e-06,7.62939453125e-06,-3.337860107421875e-06,80.0625,0.0124969482421875,0.00390625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01165771484375,0.00018799304962158203,0.0086212158203125,0.030914306640625,0.016998291015625,0.01119232177734375,0.00031685829162597656,0.0011415481567382812,0.0025043487548828125,0.205322265625,0.2020263671875,-8.344650268554688e-07,-0.00018548965454101562,0.0355224609375,0.038360595703125,0.02099609375,0.0227203369140625,0.0011768341064453125,0.007335662841796875,0.00026726722717285156,0.00576019287109375,0.0019178390502929688,0.002780914306640625,0.11688232421875,0.1177978515625,0.03448486328125,0.0360107421875,0.07891845703125,0.0787353515625,0.03460693359375,6.014108657836914e-05,6.014108657836914e-05,0.00048089027404785156,0.072265625,0.08929443359375,0.0445556640625,0.050689697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.430511474609375e-06,1.1444091796875e-05,-3.6954879760742188e-06,100.125,0.01025390625,0.01220703125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011077880859375,0.0001881122589111328,0.00792694091796875,0.03485107421875,0.0175323486328125,0.0194244384765625,0.0004181861877441406,0.0014247894287109375,0.0026760101318359375,0.2032470703125,0.199951171875,-1.7881393432617188e-06,-0.00015807151794433594,0.035064697265625,0.037872314453125,0.0242156982421875,0.0268096923828125,0.001544952392578125,0.00844573974609375,0.00036072731018066406,0.005916595458984375,0.0018672943115234375,0.0027179718017578125,0.124267578125,0.12548828125,0.03363037109375,0.035125732421875,0.07562255859375,0.075439453125,0.037017822265625,6.0439109802246094e-05,7.230043411254883e-05,0.0004749298095703125,0.072021484375,0.08953857421875,0.043792724609375,0.049835205078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.0728836059570312e-06,7.62939453125e-06,-4.291534423828125e-06,100.125,0.00341796875,-0.0029296875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01146697998046875,0.0001881122589111328,0.00815582275390625,0.040313720703125,0.0175628662109375,0.0260772705078125,0.00037598609924316406,0.0009436607360839844,0.0025043487548828125,0.2015380859375,0.2003173828125,-4.827976226806641e-06,-0.000152587890625,0.03521728515625,0.038116455078125,0.02874755859375,0.03131103515625,0.0014085769653320312,0.00885772705078125,0.0003185272216796875,0.00557708740234375,0.0017976760864257812,0.0026416778564453125,0.1392822265625,0.1412353515625,0.038604736328125,0.0406494140625,0.06982421875,0.069580078125,0.039306640625,7.355213165283203e-05,9.369850158691406e-05,0.0005769729614257812,0.07330322265625,0.0904541015625,0.04376220703125,0.050628662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-7.152557373046875e-07,1.1444091796875e-05,-4.76837158203125e-06,100.0625,0.005859375,0.00341796875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627197265625,0.00018835067749023438,0.00949859619140625,0.051239013671875,0.01436614990234375,0.043670654296875,0.00040459632873535156,0.00116729736328125,0.0027904510498046875,0.1953125,0.19580078125,-1.4126300811767578e-05,-0.0001367330551147461,0.03485107421875,0.037689208984375,0.03302001953125,0.0377197265625,0.0010204315185546875,0.00916290283203125,0.00034356117248535156,0.0052642822265625,0.0017604827880859375,0.002582550048828125,0.1558837890625,0.1588134765625,0.0479736328125,0.050537109375,0.0660400390625,0.0657958984375,0.041839599609375,7.063150405883789e-05,9.799003601074219e-05,0.0005326271057128906,0.072021484375,0.08892822265625,0.0421142578125,0.0494384765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-7.152557373046875e-07,-3.814697265625e-06,-2.7418136596679688e-06,100.0625,0.0048828125,0.00439453125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01172637939453125,0.0001881122589111328,0.01078033447265625,0.058197021484375,0.0124053955078125,0.052764892578125,0.0004029273986816406,0.001129150390625,0.0023136138916015625,0.1898193359375,0.1920166015625,-1.0311603546142578e-05,-0.00010800361633300781,0.034271240234375,0.03692626953125,0.038604736328125,0.044342041015625,0.0006804466247558594,0.0084075927734375,0.0002510547637939453,0.004024505615234375,0.0017213821411132812,0.002490997314453125,0.1663818359375,0.16943359375,0.053253173828125,0.05596923828125,0.061981201171875,0.061767578125,0.043243408203125,8.237361907958984e-05,9.614229202270508e-05,0.0005846023559570312,0.0711669921875,0.08758544921875,0.040924072265625,0.048736572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,8.344650268554688e-07,-7.62939453125e-06,-5.960464477539062e-07,100.0625,0.0,-0.00439453125
