Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005490601062774658,3.717957224580459e-05,0.00845110323280096,0.020442860201001167,0.0020226649940013885,0.045417580753564835,0.007542543113231659,0.0006837381515651941,5.525760934688151e-05,0.00019556170445866883,0.0006781897973269224,2.7492046683619265e-06,-1.3023615110796527e-06,0.0018942983588203788,0.0017110226908698678,0.008822379633784294,0.009667865931987762,-4.967951826984063e-05,0.0011255992576479912,-4.133200491196476e-05,1.242780672328081e-05,0.00016996372141875327,0.00012398738181218505,0.03963581100106239,0.04050757735967636,0.020591193810105324,0.02008759416639805,1.8851280401577242e-05,1.5748262740089558e-05,0.0391998328268528,0.03943454101681709,0.03944158926606178,-0.00016317730478476733,0.008685989305377007,0.008299585431814194,0.0024163112975656986,0.0017041482497006655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7387792468070984e-06,-1.090113102009127e-07,1.801922962840763e-06,1.2120465271436842e-06,19.99844741821289,0.00022864341735839844,-0.0008863568073138595
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009209330193698406,7.438148168148473e-05,0.01611045002937317,0.028875503689050674,0.0040497989393770695,0.08685145527124405,0.01850826106965542,0.0010866515804082155,9.559086174704134e-05,0.0028254271019250154,0.005418706219643354,-3.630596256698482e-05,2.0680428860941902e-05,0.003349908394739032,0.0030768609140068293,0.015886148437857628,0.017996329814195633,-0.00011876821372425184,0.0021774640772491693,-0.00010280632704962045,5.4090975027065724e-05,0.00037530408008024096,0.0002702684432733804,0.06768321245908737,0.06872359663248062,0.038906823843717575,0.038461022078990936,-3.803920844802633e-05,-4.064989116159268e-05,0.07636453956365585,0.07949580252170563,0.07951318472623825,-0.0002255384752061218,0.01781807467341423,0.016732480376958847,0.009115788154304028,0.008084958419203758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0975788831710815e-06,-3.5092233474642853e-07,3.4317374684178503e-06,1.5567522950732382e-06,40.04533004760742,-0.0006470680236816406,0.0007537842029705644
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011715011671185493,0.00011156849359394982,0.02306484431028366,0.03773974999785423,0.006216586101800203,0.117337666451931,0.024988815188407898,0.0010841594776138663,0.00012761651305481791,0.02193577215075493,0.027514975517988205,-6.551617116201669e-05,2.2819876903668046e-05,0.004647453315556049,0.004432258196175098,0.023158583790063858,0.02668171375989914,-0.00019993579189758748,0.003261648351326585,-0.00012693983444478363,0.00010803866462083533,0.0006259403307922184,0.0004428505781106651,0.09391582012176514,0.09501203149557114,0.05657685920596123,0.055562522262334824,-1.6797064745333046e-05,-2.2273063223110512e-05,0.11216523498296738,0.11983411014080048,0.11988499015569687,-0.00021303399989847094,0.028548792004585266,0.02726856619119644,0.01890229620039463,0.018210770562291145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.783513188362122e-06,-7.84057192504406e-07,4.1395423977519386e-06,-1.8272548629738594e-07,60.03092956542969,-0.002069163369014859,-0.0010891914134845138
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013450803235173225,0.00014873358304612339,0.02932981215417385,0.04628809541463852,0.007389063481241465,0.15117676556110382,0.03822145611047745,0.0013017113087698817,0.00017992615175899118,0.04146833345293999,0.04788518697023392,-5.058917304268107e-05,5.0907132390420884e-05,0.0055157835595309734,0.005249186884611845,0.030599748715758324,0.036782070994377136,-0.00028469657991081476,0.004108225926756859,-0.0002250781108159572,0.00020766258239746094,0.000838498875964433,0.000579378567636013,0.11993104219436646,0.12088964879512787,0.07323842495679855,0.07285912334918976,-4.513788007898256e-05,-4.288673517294228e-05,0.14524921774864197,0.1561214029788971,0.15618668496608734,-0.00011202925816178322,0.03762767091393471,0.035875819623470306,0.03103155829012394,0.031126270070672035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.8262220338510815e-06,-1.200009137392044e-06,5.023181529395515e-06,4.6379863505308094e-08,80.08638000488281,-0.004110145382583141,-0.00037760735722258687
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014625806361436844,0.00018596628797240555,0.035808272659778595,0.05847354978322983,0.006564549170434475,0.17830707132816315,0.03446934372186661,0.0017122470308095217,0.00020355924789328128,0.0806974321603775,0.08774647116661072,-9.733170008985326e-05,9.939670417224988e-05,0.006494039203971624,0.00631056958809495,0.0376114621758461,0.04645182564854622,-0.0004101139202248305,0.004485115874558687,-0.00021737933275289834,0.00030442356364801526,0.0009765444556251168,0.0006229666760191321,0.16603165864944458,0.16758441925048828,0.09622621536254883,0.09567663073539734,-1.8846989178200602e-06,-2.803206371027045e-05,0.17816835641860962,0.19434437155723572,0.1944359540939331,-0.0001810268295230344,0.0478641502559185,0.046172089874744415,0.04549738019704819,0.046968940645456314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.803551852703094e-06,-1.9778963178396225e-06,5.953013896942139e-06,-6.417976692318916e-07,100.05996704101562,-0.007957935333251953,-0.0021033287048339844
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013668791390955448,0.00018595911387819797,0.03640116751194,0.08116348087787628,0.003097653156146407,0.1778835654258728,0.015464356169104576,0.0016276756068691611,0.0001407241798005998,0.0986008420586586,0.10301391780376434,-0.0001318275899393484,0.0001301860756939277,0.006336910650134087,0.006369323004037142,0.036973509937524796,0.04600372165441513,-0.0004317855928093195,0.00398032134398818,-0.00022759436978958547,0.0003159904445055872,0.0009432304068468511,0.0005770032294094563,0.2362673431634903,0.23867616057395935,0.10925675183534622,0.10823340713977814,2.894401632147492e-06,-2.9709339287364855e-05,0.17631734907627106,0.19182442128658295,0.1919025182723999,-0.0003383347357157618,0.0482448972761631,0.04697595536708832,0.045228105038404465,0.04778546839952469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.007977157831192e-06,-6.133923307061195e-07,4.421919584274292e-06,1.6557751223444939e-06,100.04462432861328,0.0025243759155273438,0.006878376007080078
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015192572958767414,0.00018589176761452109,0.03800959140062332,0.14278492331504822,0.0016171809984371066,0.19030456244945526,0.0020152651704847813,0.001678100205026567,9.091154061025009e-05,0.11094263941049576,0.11358093470335007,-0.00015316129429265857,9.41437465371564e-05,0.008136269636452198,0.008241288363933563,0.040215302258729935,0.04899441823363304,-0.0003608393599279225,0.003998112864792347,-0.00026916206115856767,0.00024778186343610287,0.0009047702769748867,0.0005641783936880529,0.3224211037158966,0.32645970582962036,0.1290498524904251,0.12877710163593292,-4.7786234063096344e-05,-8.63361347001046e-05,0.18004287779331207,0.1937578171491623,0.19379645586013794,-0.00037264509592205286,0.048715732991695404,0.047468606382608414,0.037024907767772675,0.04088372737169266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7930668592453e-06,1.0638032108545303e-06,5.980953574180603e-06,5.2049290388822556e-06,100.06346130371094,0.00577545166015625,0.008881092071533203
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022530684247612953,0.00018583655764814466,0.039895687252283096,0.19706054031848907,0.001116565428674221,0.19724281132221222,0.0004252433718647808,0.0016120800282806158,0.00012379292456898838,0.11645742505788803,0.12097576260566711,-9.676501213107258e-05,0.00011603593884501606,0.01172353234142065,0.011591336689889431,0.0475102998316288,0.05434615910053253,-0.0003530144749674946,0.004213112406432629,-0.00018977999570779502,0.00021357060177251697,0.0008369614952243865,0.0005534702795557678,0.3907685875892639,0.3955402076244354,0.13934673368930817,0.14059258997440338,7.005930001469096e-06,-9.814501026994549e-06,0.1797054260969162,0.1918056160211563,0.19182053208351135,-0.00048709698603488505,0.049195900559425354,0.04831182584166527,0.02860768884420395,0.032218437641859055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.29365274310112e-06,2.444721758365631e-09,5.105510354042053e-06,7.427996024489403e-06,99.99723815917969,-0.00289154052734375,-0.0003342628479003906
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316874124109745,0.00018590953550301492,0.041302390396595,0.23084865510463715,0.0011227595387026668,0.20232181251049042,0.0003664505493361503,0.001659727655351162,0.00011135898239444941,0.11374139785766602,0.11908218264579773,-0.00010420933540444821,9.971737745217979e-05,0.016613423824310303,0.01638263463973999,0.06012072414159775,0.0648844838142395,-0.0004002177738584578,0.0042831189930438995,-0.00022169113799463958,0.00017338752513751388,0.0007600086973980069,0.0005345895770005882,0.42883026599884033,0.43240654468536377,0.14383873343467712,0.14598365128040314,4.645586159313098e-06,3.3843516575871035e-06,0.1814313530921936,0.19738613069057465,0.197384312748909,-0.0005286770174279809,0.04875556007027626,0.04804108291864395,0.022186806425452232,0.025440417230129242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.618684321641922e-06,-1.608103048056364e-06,5.3960829973220825e-06,8.711474947631359e-06,99.99687194824219,0.004864692687988281,0.004659175872802734
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038740724325180054,0.00018592618289403617,0.04269317165017128,0.2544218897819519,0.0011520242551341653,0.2028966099023819,0.000302449450828135,0.0016915815649554133,8.750341658014804e-05,0.11005035042762756,0.1160525232553482,-0.00010380104504292831,8.692026312928647e-05,0.020861122757196426,0.020477982237935066,0.07050486654043198,0.07391785830259323,-0.00040520550101064146,0.004376553930342197,-0.00024455427774228156,0.00010956764162983745,0.0007058845367282629,0.0005750118289142847,0.4528124928474426,0.45632484555244446,0.1432991623878479,0.14597760140895844,1.1868476576637477e-05,-1.3649463653564453e-05,0.1803530901670456,0.19807550311088562,0.19805565476417542,-0.0005305605591274798,0.049440935254096985,0.048756904900074005,0.01814146526157856,0.02141423150897026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.628703653812408e-06,-2.7281930670142174e-06,5.2265822887420654e-06,9.560026228427887e-06,99.98526763916016,0.005068302154541016,0.002673625946044922
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042595986276865005,0.00018590908439364284,0.0435967817902565,0.27081719040870667,0.001109658507630229,0.19946780800819397,0.00025130153517238796,0.0017256102291867137,8.137703116517514e-05,0.10714729130268097,0.11421588808298111,-0.0001073591411113739,7.913708395790309e-05,0.02422172762453556,0.0237520020455122,0.07752963900566101,0.0800846517086029,-0.0004151761531829834,0.004623039625585079,-0.0002497088862583041,8.77130005392246e-05,0.0006459039286710322,0.0005787679692730308,0.46622490882873535,0.4689417779445648,0.1406705230474472,0.14381711184978485,2.596139893284999e-05,-3.5703183129953686e-06,0.1811268925666809,0.19970431923866272,0.19966992735862732,-0.0004692493239417672,0.04973520338535309,0.04954930394887924,0.013987901620566845,0.018068265169858932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.062459528446198e-06,-2.614688128232956e-06,5.815178155899048e-06,9.52347181737423e-06,99.9453125,0.00159454345703125,-0.0017437934875488281
