Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050506591796875,3.6835670471191406e-05,0.0012979507446289062,0.016998291015625,0.011474609375,0.0153350830078125,0.005191802978515625,0.0018749237060546875,-1.621246337890625e-05,2.944469451904297e-05,-6.079673767089844e-06,0.022216796875,0.0218658447265625,0.003185272216796875,0.0028228759765625,0.0227813720703125,0.0214080810546875,0.0021305084228515625,0.003387451171875,1.9550323486328125e-05,-4.601478576660156e-05,-7.987022399902344e-06,2.6106834411621094e-05,0.023590087890625,0.02142333984375,-0.0002046823501586914,-0.0001423358917236328,-3.695487976074219e-05,-3.4689903259277344e-05,0.1121826171875,0.08544921875,0.08544921875,0.00045013427734375,0.002899169921875,0.0026493072509765625,-2.6464462280273438e-05,-9.107589721679688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5762786865234375e-07,-2.384185791015625e-07,1.1324882507324219e-06,2.980232238769531e-07,20.046875,0.0015621185302734375,0.0006837844848632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01006317138671875,7.367134094238281e-05,0.0024127960205078125,0.0303955078125,0.024139404296875,0.0221405029296875,0.0088958740234375,0.0035400390625,-2.2172927856445312e-05,-4.649162292480469e-06,9.691715240478516e-05,0.031707763671875,0.031768798828125,0.00665283203125,0.00594329833984375,0.04388427734375,0.04132080078125,0.005401611328125,0.00698089599609375,4.7087669372558594e-05,-9.226799011230469e-05,2.5033950805664062e-06,9.244680404663086e-05,0.04229736328125,0.03936767578125,-0.00035500526428222656,-0.00013339519500732422,-5.9723854064941406e-05,-4.6372413635253906e-05,0.231689453125,0.179443359375,0.179443359375,0.0008177757263183594,0.006591796875,0.00595855712890625,-7.87973403930664e-05,-0.00011032819747924805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7881393432617188e-07,-1.1920928955078125e-06,3.039836883544922e-06,-2.384185791015625e-07,40.0625,0.004589080810546875,0.0001952648162841797
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158233642578125,0.00011056661605834961,0.00296783447265625,0.04156494140625,0.038238525390625,0.00928497314453125,0.00673675537109375,0.004974365234375,2.8133392333984375e-05,3.49879264831543e-05,6.884336471557617e-05,0.0189361572265625,0.0166473388671875,0.0106201171875,0.00970458984375,0.0657958984375,0.06268310546875,0.01251220703125,0.0117645263671875,8.082389831542969e-05,-0.00015783309936523438,2.586841583251953e-05,0.0001398324966430664,0.06072998046875,0.05841064453125,-0.0004315376281738281,-0.0001704692840576172,-0.00011444091796875,-9.298324584960938e-05,0.34716796875,0.27490234375,0.275146484375,0.0013580322265625,0.0102081298828125,0.00951385498046875,-0.00011599063873291016,-0.0001571178436279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-2.562999725341797e-06,-1.1324882507324219e-06,-2.384185791015625e-06,60.125,-0.0105438232421875,-0.005565643310546875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021453857421875,0.00014734268188476562,0.003574371337890625,0.049560546875,0.05438232421875,0.0008988380432128906,0.00716400146484375,0.00582122802734375,2.771615982055664e-05,0.0010318756103515625,0.0023708343505859375,8.720159530639648e-05,0.0001506805419921875,0.01544189453125,0.0144500732421875,0.08355712890625,0.08099365234375,0.0208892822265625,0.016754150390625,8.58306884765625e-05,-0.0002815723419189453,-7.337331771850586e-05,4.9054622650146484e-05,0.0770263671875,0.07501220703125,-0.0006222724914550781,-0.00017511844635009766,-0.00016820430755615234,-8.106231689453125e-05,0.473876953125,0.38134765625,0.38134765625,0.0016994476318359375,0.0172576904296875,0.016998291015625,-0.00029730796813964844,-0.00034332275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.496906280517578e-06,-2.2649765014648438e-06,6.079673767089844e-06,-2.9802322387695312e-06,80.1875,0.0007810592651367188,-0.0015621185302734375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0280914306640625,0.00018405914306640625,0.00289154052734375,0.06024169921875,0.0711669921875,0.0028228759765625,0.0040283203125,0.006587982177734375,5.036592483520508e-05,0.0224151611328125,0.022064208984375,0.0001544952392578125,0.0001232624053955078,0.02191162109375,0.0210723876953125,0.104736328125,0.10211181640625,0.03057861328125,0.02288818359375,0.00022709369659423828,-0.0003314018249511719,-4.76837158203125e-07,0.00020778179168701172,0.08880615234375,0.0882568359375,-0.00039267539978027344,-5.644559860229492e-05,-0.00012242794036865234,-2.3186206817626953e-05,0.60009765625,0.48779296875,0.488037109375,0.002185821533203125,0.0236358642578125,0.023284912109375,-0.000102996826171875,-0.0002319812774658203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-5.960464477539062e-07,7.62939453125e-06,-5.0067901611328125e-06,100.0625,-0.01513671875,-0.0166015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028900146484375,0.00018405914306640625,0.00241851806640625,0.05780029296875,0.07012939453125,0.00262451171875,0.00284576416015625,0.006351470947265625,1.7881393432617188e-05,0.0406494140625,0.03851318359375,4.887580871582031e-05,0.00013124942779541016,0.0236968994140625,0.0230712890625,0.10565185546875,0.102294921875,0.0360107421875,0.0247802734375,9.810924530029297e-05,-0.0003998279571533203,-7.218122482299805e-05,0.00016629695892333984,0.08294677734375,0.0836181640625,-0.000614166259765625,-3.081560134887695e-05,-0.0001760721206665039,6.079673767089844e-06,0.587890625,0.484619140625,0.485107421875,0.0019817352294921875,0.0286865234375,0.02862548828125,-0.00021779537200927734,-0.0002770423889160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.1920928955078125e-06,3.814697265625e-06,-8.463859558105469e-06,100.1875,-0.00537109375,-0.01318359375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02777099609375,0.0001838207244873047,0.0023555755615234375,0.054779052734375,0.068359375,0.00435638427734375,0.00388336181640625,0.006114959716796875,6.079673767089844e-06,0.037017822265625,0.035064697265625,2.6941299438476562e-05,0.00010073184967041016,0.0231475830078125,0.02239990234375,0.109619140625,0.10406494140625,0.03363037109375,0.0229644775390625,0.00026035308837890625,-0.0004405975341796875,0.00012612342834472656,0.00036907196044921875,0.09088134765625,0.090087890625,-0.00025844573974609375,0.00010317564010620117,-0.00012540817260742188,1.341104507446289e-05,0.60205078125,0.499267578125,0.499755859375,0.0020694732666015625,0.0298614501953125,0.03033447265625,-0.00012069940567016602,-0.0002913475036621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-3.4570693969726562e-06,-1.1444091796875e-05,-7.271766662597656e-06,100.0,-0.0146484375,-0.017578125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027923583984375,0.0001837015151977539,0.0018453598022460938,0.055633544921875,0.06817626953125,0.014373779296875,0.0029201507568359375,0.0057373046875,4.655122756958008e-05,0.0189666748046875,0.014007568359375,3.516674041748047e-05,8.118152618408203e-05,0.02166748046875,0.02081298828125,0.11541748046875,0.10906982421875,0.0343017578125,0.0228271484375,0.0002884864807128906,-0.0004820823669433594,7.903575897216797e-05,0.0002810955047607422,0.09320068359375,0.091064453125,-0.0003952980041503906,0.00015473365783691406,-0.00018584728240966797,-2.562999725341797e-05,0.61474609375,0.5107421875,0.51123046875,0.0024394989013671875,0.034912109375,0.034149169921875,-4.929304122924805e-05,-0.0005321502685546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.3113021850585938e-06,-1.9073486328125e-06,-4.172325134277344e-06,100.125,-0.0068359375,-0.01953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283660888671875,0.00018358230590820312,0.003742218017578125,0.06219482421875,0.06121826171875,0.05889892578125,0.003635406494140625,0.005611419677734375,5.173683166503906e-05,0.0026683807373046875,0.0007948875427246094,0.000579833984375,0.000904083251953125,0.0209808349609375,0.0201416015625,0.1141357421875,0.11029052734375,0.0244140625,0.0202178955078125,0.0002543926239013672,-0.00041747093200683594,8.803606033325195e-05,0.00024437904357910156,0.112060546875,0.109130859375,-0.00033974647521972656,7.414817810058594e-05,-0.00035190582275390625,-0.00023806095123291016,0.62451171875,0.52099609375,0.521484375,0.002147674560546875,0.0367431640625,0.036712646484375,-5.692243576049805e-05,-0.0003533363342285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-1.6689300537109375e-06,9.5367431640625e-06,-2.0265579223632812e-06,100.25,0.00048828125,-0.01123046875
