Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005459785461425781,3.820657730102539e-05,0.0002913475036621094,0.0002052783966064453,0.0001842975616455078,5.1140785217285156e-05,0.00019276142120361328,0.0001291036605834961,0.0002493858337402344,0.0263214111328125,0.0256805419921875,-2.3424625396728516e-05,-1.049041748046875e-05,0.002666473388671875,0.002895355224609375,0.0011196136474609375,0.000263214111328125,0.003253936767578125,0.0006241798400878906,0.002346038818359375,0.001071929931640625,0.0012807846069335938,0.0014820098876953125,0.0106658935546875,0.0107574462890625,0.0013799667358398438,0.0015268325805664062,0.0823974609375,0.08233642578125,0.0251007080078125,1.0132789611816406e-06,9.238719940185547e-06,0.0005540847778320312,0.01393890380859375,0.017974853515625,0.0096893310546875,0.0100555419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-2.980232238769531e-07,-2.682209014892578e-06,-7.152557373046875e-07,20.015625,0.004344940185546875,0.003711700439453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010328292846679688,7.647275924682617e-05,0.0005846023559570312,0.0003180503845214844,0.0003323554992675781,0.0001004934310913086,0.00037479400634765625,0.0002397298812866211,0.0005064010620117188,0.051025390625,0.050445556640625,-5.3048133850097656e-05,-2.491474151611328e-05,0.005191802978515625,0.0056610107421875,0.002628326416015625,0.0005688667297363281,0.00634765625,0.0011930465698242188,0.00438690185546875,0.0018892288208007812,0.0024776458740234375,0.00286102294921875,0.021331787109375,0.021240234375,0.002620697021484375,0.002872467041015625,0.15283203125,0.1527099609375,0.047454833984375,1.4781951904296875e-05,2.4318695068359375e-05,0.0010585784912109375,0.026885986328125,0.03497314453125,0.017913818359375,0.0183563232421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-1.1920928955078125e-07,2.2649765014648438e-06,-1.5497207641601562e-06,40.03125,0.01113128662109375,0.0115203857421875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015087127685546875,0.00011473894119262695,0.0008935928344726562,0.0004551410675048828,0.00048089027404785156,0.00019621849060058594,0.000518798828125,0.00039005279541015625,0.0005125999450683594,0.074462890625,0.07379150390625,-7.468461990356445e-05,-3.88026237487793e-05,0.00775146484375,0.00846099853515625,0.0041961669921875,0.0012569427490234375,0.009063720703125,0.0017833709716796875,0.00595855712890625,0.002452850341796875,0.003513336181640625,0.004055023193359375,0.0321044921875,0.031982421875,0.003787994384765625,0.004062652587890625,0.215576171875,0.2154541015625,0.0675048828125,1.6689300537109375e-06,2.6166439056396484e-05,0.0015087127685546875,0.03900146484375,0.050537109375,0.0249786376953125,0.0253753662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.980232238769531e-07,4.589557647705078e-06,-2.205371856689453e-06,60.03125,0.0150909423828125,0.0164031982421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021152496337890625,0.00015294551849365234,0.0012340545654296875,0.0005784034729003906,0.0005946159362792969,0.0002989768981933594,0.0006799697875976562,0.0005407333374023438,0.0006628036499023438,0.09588623046875,0.0953369140625,-9.85860824584961e-05,-4.786252975463867e-05,0.01007843017578125,0.01102447509765625,0.006011962890625,0.0019092559814453125,0.0125732421875,0.00241851806640625,0.00775909423828125,0.002750396728515625,0.00467681884765625,0.005401611328125,0.041717529296875,0.0413818359375,0.004573822021484375,0.00493621826171875,0.27392578125,0.27392578125,0.0865478515625,-7.569789886474609e-06,1.7344951629638672e-05,0.002002716064453125,0.05078125,0.065673828125,0.030487060546875,0.0307159423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.496906280517578e-06,-4.76837158203125e-07,6.079673767089844e-06,-3.516674041748047e-06,80.0625,0.017974853515625,0.021881103515625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002391815185546875,0.00019121170043945312,0.0014371871948242188,0.0007448196411132812,0.0007615089416503906,0.0004076957702636719,0.0008168220520019531,0.0007829666137695312,0.0007543563842773438,0.11419677734375,0.114501953125,-0.0001283884048461914,-6.711483001708984e-05,0.012176513671875,0.013275146484375,0.00841522216796875,0.0029239654541015625,0.014129638671875,0.002796173095703125,0.0086212158203125,0.003269195556640625,0.005340576171875,0.006160736083984375,0.0526123046875,0.052154541015625,0.00583648681640625,0.006011962890625,0.324951171875,0.32470703125,0.102294921875,-1.436471939086914e-05,2.1696090698242188e-05,0.00226593017578125,0.060943603515625,0.07904052734375,0.03594970703125,0.03607177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.049041748046875e-05,-4.76837158203125e-07,9.5367431640625e-06,-4.172325134277344e-06,100.125,0.03271484375,0.0283203125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00255584716796875,0.00019109249114990234,0.001575469970703125,0.0007200241088867188,0.0007214546203613281,0.00046634674072265625,0.0008039474487304688,0.0007505416870117188,0.000701904296875,0.109375,0.110107421875,-0.00012552738189697266,-5.0067901611328125e-05,0.012054443359375,0.01316070556640625,0.0090179443359375,0.0033206939697265625,0.01412200927734375,0.0029354095458984375,0.00873565673828125,0.003314971923828125,0.0054168701171875,0.00626373291015625,0.0517578125,0.051025390625,0.00553131103515625,0.005725860595703125,0.308349609375,0.30810546875,0.0985107421875,1.4960765838623047e-05,5.5849552154541016e-05,0.0023479461669921875,0.059326171875,0.076904296875,0.033203125,0.03314208984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-8.344650268554688e-07,1.33514404296875e-05,-4.291534423828125e-06,100.0625,0.0341796875,0.02587890625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025997161865234375,0.00019085407257080078,0.0016050338745117188,0.0007190704345703125,0.0005745887756347656,0.0005102157592773438,0.0008015632629394531,0.000942230224609375,0.0006084442138671875,0.10516357421875,0.10577392578125,-0.00013113021850585938,-6.222724914550781e-05,0.01178741455078125,0.012847900390625,0.00943756103515625,0.0035305023193359375,0.0128936767578125,0.0030193328857421875,0.0078277587890625,0.00311279296875,0.00516510009765625,0.005950927734375,0.052032470703125,0.051239013671875,0.005855560302734375,0.006015777587890625,0.296630859375,0.29638671875,0.0953369140625,7.62939453125e-06,6.681680679321289e-05,0.002231597900390625,0.058013916015625,0.07464599609375,0.031829833984375,0.03143310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,0.0,1.52587890625e-05,-4.410743713378906e-06,100.125,0.03125,0.0283203125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024089813232421875,0.00019109249114990234,0.0015687942504882812,0.0007948875427246094,0.0005083084106445312,0.0006127357482910156,0.0008449554443359375,0.0008559226989746094,0.00047397613525390625,0.1002197265625,0.102294921875,-0.00010645389556884766,-1.3470649719238281e-05,0.01160430908203125,0.01270294189453125,0.00942230224609375,0.00333404541015625,0.0118560791015625,0.002895355224609375,0.0069122314453125,0.0025920867919921875,0.005107879638671875,0.005847930908203125,0.051361083984375,0.05047607421875,0.00576019287109375,0.00583648681640625,0.28173828125,0.281494140625,0.09130859375,-1.1622905731201172e-05,5.447864532470703e-05,0.0023822784423828125,0.05584716796875,0.0721435546875,0.02972412109375,0.029083251953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-7.152557373046875e-07,0.0,-2.9802322387695312e-06,100.0625,0.0283203125,0.02392578125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024089813232421875,0.00019073486328125,0.00177764892578125,0.0007348060607910156,0.0004444122314453125,0.0016965866088867188,0.0008702278137207031,0.0011014938354492188,0.0004317760467529297,0.09759521484375,0.099365234375,-0.00011467933654785156,-4.762411117553711e-05,0.01125335693359375,0.0124053955078125,0.00841522216796875,0.0027103424072265625,0.0106353759765625,0.0028362274169921875,0.00626373291015625,0.00261688232421875,0.00507354736328125,0.005840301513671875,0.051025390625,0.050537109375,0.005878448486328125,0.006038665771484375,0.273193359375,0.27294921875,0.0904541015625,-1.9252300262451172e-05,9.47713851928711e-06,0.0021572113037109375,0.054718017578125,0.07000732421875,0.028106689453125,0.0274200439453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-3.5762786865234375e-07,1.9073486328125e-05,-1.9073486328125e-06,100.0625,0.0107421875,0.01416015625
