Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011251186951994896,3.7710287870140746e-05,0.00021272739104460925,0.002446067053824663,0.003365765092894435,0.0001115383201977238,9.836265962803736e-05,0.002744212280958891,-1.7524909708299674e-05,0.007866401225328445,0.0074952105060219765,1.1085367077612318e-05,3.5290584492031485e-05,0.003278769087046385,0.0029873033054172993,0.009807144291698933,0.008762155659496784,0.006489872001111507,0.0018067829078063369,0.00018314480257686228,-5.715367660741322e-05,0.00021364085841923952,0.0003550465917214751,0.003940802998840809,0.0024375785142183304,4.804834588867379e-06,-2.249386852781754e-05,5.255362339084968e-05,8.245288881880697e-06,0.02169513702392578,0.02074170671403408,0.020773034542798996,0.0003653397725429386,0.003300934564322233,0.004369524773210287,2.753760782070458e-05,4.3566069507505745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2160860478616087e-06,-5.249748937785625e-07,4.825182031709119e-07,-6.937974603715702e-07,19.99912452697754,6.557702727150172e-05,0.00048160552978515625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023221338633447886,7.543158426415175e-05,0.00042322673834860325,0.004918781574815512,0.006788571365177631,0.0002151414955733344,0.00020293421403039247,0.0055829863995313644,-3.521233156789094e-05,0.015208358876407146,0.01442595012485981,2.2982847440289333e-05,7.33747219783254e-05,0.006541391368955374,0.005935815628618002,0.019793052226305008,0.0176737941801548,0.01320869754999876,0.0036645415239036083,0.0003721296670846641,-0.00012395532394293696,0.0004389692621771246,0.0007218695245683193,0.00778611283749342,0.0047174664214253426,2.7505457182996906e-06,-4.868411997449584e-05,0.00010477060277480632,1.5330911992350593e-05,0.043461836874485016,0.04217416048049927,0.04223921149969101,0.0007339044823311269,0.006549654062837362,0.008652877062559128,5.741362110711634e-05,8.923927816795185e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.450798547215527e-06,-1.0845833458006382e-06,1.0128132998943329e-06,-1.3633864455186995e-06,40.000728607177734,-0.0003939151647500694,0.0006481647724285722
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036274960730224848,0.00011315180745441467,0.0006887604831717908,0.007423638831824064,0.010368208400905132,0.00032591354101896286,0.0002974282833747566,0.008482461795210838,-4.426707891980186e-05,0.021993890404701233,0.02100091613829136,2.8807211492676288e-05,0.00011281778279226273,0.009806402027606964,0.008859573863446712,0.029814720153808594,0.02659323811531067,0.02010798081755638,0.005523355212062597,0.0005531852366402745,-0.00019584016990847886,0.0006621423526667058,0.001086734700948,0.011577915400266647,0.006852775812149048,-1.8075853631671635e-06,-8.704054926056415e-05,0.00016159478400368243,1.952523052750621e-05,0.06517475843429565,0.06416283547878265,0.0642586424946785,0.001095438958145678,0.009633468464016914,0.012680931016802788,7.952792657306418e-05,0.00013831960677634925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.640784370873007e-06,-1.5562924318146543e-06,1.7877202935778769e-06,-2.148989096895093e-06,60.013267517089844,-0.0011154413223266602,0.001290822052396834
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005025814287364483,0.00015084986807778478,0.0009688370628282428,0.00995729397982359,0.013851145282387733,0.0004043614026159048,0.00039536372059956193,0.01162052247673273,-5.523596701095812e-05,0.028373610228300095,0.027141064405441284,3.6807439755648375e-05,0.0001568903389852494,0.013029173016548157,0.011745637282729149,0.03997761011123657,0.03559793159365654,0.027418002486228943,0.007495398633182049,0.0007172479527071118,-0.0002739626506809145,0.0008481843397021294,0.0014227658975869417,0.014993652701377869,0.008629669435322285,-3.532856499077752e-05,-9.545827197143808e-05,0.00021205127995926887,1.4011621715326328e-05,0.08656999468803406,0.08606240153312683,0.08619152754545212,0.0014597706031054258,0.012498708441853523,0.01658066362142563,9.013661474455148e-05,0.00020267898798920214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5242254600452725e-06,-2.073892346743378e-06,2.123601689163479e-06,-2.8002773433399852e-06,80.02352142333984,-0.00213794712908566,0.0015786171425133944
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006579711567610502,0.00018856010865420103,0.0012679642532020807,0.012619406916201115,0.01731814816594124,0.0005055626388639212,0.0004910300485789776,0.014937772415578365,-8.883906411938369e-05,0.03479861095547676,0.0332757942378521,4.8493919166503474e-05,0.00020948343444615602,0.016262995079159737,0.014618320390582085,0.04958312213420868,0.04354996234178543,0.03538941591978073,0.009541692212224007,0.0008876657229848206,-0.0003703852416947484,0.0010377175640314817,0.0017738844035193324,0.018405785784125328,0.010269246064126492,-1.6299709386657923e-05,-0.00010396748984931037,0.000262176850810647,5.523264462681254e-06,0.10786305367946625,0.10807521641254425,0.10824152082204819,0.0018563182093203068,0.015348013490438461,0.02031978778541088,0.00010990213922923431,0.00027899007545784116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.30219404026866e-06,-2.7469650376588106e-06,3.1634699553251266e-06,-3.456385456956923e-06,100.03244018554688,-0.0031270980834960938,0.0016313791275024414
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00651876674965024,0.0001885519886855036,0.0012711700983345509,0.012736065313220024,0.017711035907268524,0.0004839821485802531,0.0004723010933957994,0.015338186174631119,-7.971702143549919e-05,0.03528211638331413,0.03378734365105629,4.4211923523107544e-05,0.00021286748233251274,0.01632595993578434,0.014653087593615055,0.048905979841947556,0.042357493191957474,0.03606046736240387,0.009856662712991238,0.0008712774724699557,-0.0003726463473867625,0.001113260630518198,0.0018612183630466461,0.01835564710199833,0.01000729575753212,-5.945585508015938e-05,-5.6600867537781596e-05,0.0002490638289600611,-2.3233593310578726e-05,0.10778935253620148,0.10732945799827576,0.10749296844005585,0.00189311639405787,0.014841434545814991,0.019833585247397423,8.873712067725137e-05,0.00027269998099654913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.787296686321497e-06,-2.9538641683757305e-06,2.9776711016893387e-06,-3.913126420229673e-06,100.04365539550781,-0.0006159543991088867,0.003481149673461914
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065903798677027225,0.00018846371676772833,0.001413106918334961,0.01345644798129797,0.018252957612276077,0.000380299286916852,0.0004690562200266868,0.015866048634052277,-8.968872862169519e-05,0.03847837820649147,0.036224592477083206,3.658014247776009e-05,0.00021590106189250946,0.016498683020472527,0.01478828676044941,0.0474197119474411,0.040229883044958115,0.036511052399873734,0.010097663849592209,0.0007775208214297891,-0.00031278032111003995,0.0011689506936818361,0.0019311374053359032,0.020270714536309242,0.010953414253890514,-6.425999163184315e-05,-5.2048264478798956e-05,0.00023914202756714076,-3.868788553518243e-05,0.10805048793554306,0.10670999437570572,0.10687585920095444,0.0019525681855157018,0.014759846962988377,0.01954108104109764,7.65980439609848e-05,0.0002654908166732639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.087066140025854e-06,-2.8526701498776674e-06,2.4209730327129364e-06,-4.178757080808282e-06,100.05264282226562,-0.0022431612014770508,0.0027517080307006836
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006489855702966452,0.00018830239423550665,0.0016879272880032659,0.015177203342318535,0.0202904362231493,0.0002707256644498557,0.00044633017387241125,0.01637560874223709,-8.406935376115143e-05,0.04554402828216553,0.041802454739809036,2.8310594643699005e-05,0.0002156262780772522,0.016724154353141785,0.014967687427997589,0.04673658683896065,0.03902078792452812,0.036430686712265015,0.010285797528922558,0.0006611853605136275,-0.00022196192003320903,0.0011046448489651084,0.0018872804939746857,0.02586541883647442,0.015456960536539555,-7.142611138988286e-05,-3.171086427755654e-05,0.00022205815184861422,-4.650026676245034e-05,0.10962284356355667,0.10650967806577682,0.10668225586414337,0.0019931939896196127,0.014985958114266396,0.019730059430003166,5.0008409743895754e-05,0.00022492626158054918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.478330422192812e-06,-2.901913831010461e-06,3.435881808400154e-06,-4.19223215430975e-06,100.06493377685547,-0.00256192684173584,0.003475785255432129
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006703512743115425,0.00018806742446031421,0.002187076723203063,0.020740022882819176,0.027519922703504562,0.00019884247740264982,0.00041015370516106486,0.016618236899375916,-7.5625313911587e-05,0.055926576256752014,0.05046393349766731,1.814085044316016e-05,0.00020436309569049627,0.017364811152219772,0.01560104638338089,0.052363619208335876,0.04512976109981537,0.03484734147787094,0.010334508493542671,0.0005278139724396169,-0.00012291986786294729,0.0009867928456515074,0.0017685811035335064,0.04425932094454765,0.03287770599126816,-5.5822059948695824e-05,-0.00010088831186294556,0.00018981084576807916,-7.260173879330978e-05,0.11327323317527771,0.10838232934474945,0.10854455083608627,0.0019255910301581025,0.016349446028470993,0.0211478378623724,1.2881867405667435e-05,0.00018605987133923918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.267094820737839e-06,-3.1338422559201717e-06,2.3865140974521637e-06,-4.186149453744292e-06,100.06245422363281,-0.008702397346496582,-0.000661015510559082
