Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018216511234641075,3.716320134117268e-05,0.0038176686502993107,0.024434592574834824,0.005832299590110779,0.04044029861688614,0.0019365554908290505,0.0018112410325556993,2.9494243790395558e-05,0.0004237571847625077,0.003214461263269186,3.198675040039234e-05,2.4115845008054748e-05,0.002563200891017914,0.0022548965644091368,0.017634976655244827,0.019417373463511467,5.508417234523222e-05,0.0012290712911635637,2.320163048352697e-06,3.5012923035537824e-05,-2.6204981622868218e-05,5.7687189837452024e-05,0.05275057628750801,0.05136251449584961,0.011000970378518105,0.011914992704987526,-1.009970901577617e-06,-2.3207841877592728e-05,0.040777191519737244,0.050645582377910614,0.05065271258354187,-2.407508327451069e-05,0.005048824939876795,0.006330760661512613,-2.67725954472553e-05,0.00011060245014959946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2078205600118963e-06,-2.841581476786814e-07,9.669456630945206e-07,7.683964327043213e-07,20.00279998779297,0.00031816959381103516,0.0014016389613971114
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043380651623010635,7.428426761180162e-05,0.008918320760130882,0.058968085795640945,0.011045647785067558,0.08844625949859619,0.0006340808467939496,0.003544360864907503,0.00011004728730767965,0.00021722851670347154,0.005004041828215122,9.032506932271644e-05,3.641781222540885e-05,0.005212669260799885,0.004510793834924698,0.03783460706472397,0.0413111075758934,6.208730337675661e-05,0.0024722518865019083,9.349330866825767e-06,5.41671943210531e-05,-8.27741896500811e-05,7.232662028400227e-05,0.1211048811674118,0.11753302812576294,0.02648892067372799,0.02860369347035885,5.899369625694817e-06,-3.89355409424752e-05,0.08263508230447769,0.1041736751794815,0.10418453067541122,-9.371589112561196e-05,0.010378703474998474,0.012743854895234108,-7.371969695668668e-05,0.00019250372133683413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3902161956357304e-06,-7.67211872698681e-07,2.3429281554854242e-06,2.6824186534213368e-06,40.00636672973633,0.001657676650211215,0.0038830279372632504
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007426672615110874,0.00011141342110931873,0.014760223217308521,0.09483586251735687,0.015533043071627617,0.1348584145307541,0.0002750065759755671,0.00494128093123436,0.0002556436520535499,0.00033527950290590525,0.007820391096174717,0.0002086888562189415,0.00018494005780667067,0.008056385442614555,0.006952703930437565,0.0605178140103817,0.06612343341112137,3.001661207235884e-05,0.0038484586402773857,5.1837932915077545e-06,6.850135832792148e-05,-0.0001520335499662906,6.293314800132066e-05,0.19162605702877045,0.1865338385105133,0.042201727628707886,0.04541977122426033,3.408220436540432e-05,-2.8516709789982997e-05,0.12527522444725037,0.16036470234394073,0.1603817641735077,-0.0001835343282436952,0.015798501670360565,0.01887362264096737,-0.00012974160199519247,0.00035025845863856375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5253935948276194e-06,-1.215454517478065e-06,3.5979319363832474e-06,4.1043035707843956e-06,60.01132583618164,0.003822970436885953,0.00733262300491333
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01096814963966608,0.00014848075807094574,0.02116987481713295,0.12776413559913635,0.019689183682203293,0.17416846752166748,0.00047625863226130605,0.006165557540953159,0.000671498361043632,0.0025816396810114384,0.014950195327401161,2.8922222554683685e-05,0.00011383098171791062,0.010857242159545422,0.009434012696146965,0.08344043791294098,0.09181644022464752,1.8101469322573394e-05,0.005307328887283802,-5.880430035176687e-05,0.00011872991308337077,-0.00022874944261275232,7.492075383197516e-05,0.25783461332321167,0.25172027945518494,0.056691497564315796,0.06091571971774101,3.8526177377207205e-05,-4.0128230466507375e-05,0.17018137872219086,0.21821045875549316,0.21822500228881836,-0.00034701047115959227,0.02142733708024025,0.025275742635130882,-0.00019217576482333243,0.0006312711630016565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.600089025392663e-06,-1.1479016848170431e-06,3.1011179544293554e-06,4.055747012898792e-06,80.00947570800781,0.0032553672790527344,0.008551692590117455
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014656785875558853,0.0001855169393820688,0.027193410322070122,0.15942956507205963,0.023461177945137024,0.2062363475561142,0.0005365125834941864,0.0076495446264743805,0.0010368269868195057,0.004864515271037817,0.0197167806327343,3.314989589853212e-05,0.0001515715557616204,0.01397074107080698,0.01222386583685875,0.10655708611011505,0.11705251783132553,-1.53818546095863e-05,0.006794605404138565,-9.786013833945617e-05,0.000120171120215673,-0.00031855679117143154,2.317769394721836e-05,0.3137894868850708,0.30663812160491943,0.06894439458847046,0.0738353282213211,1.255109873454785e-05,-5.648821752402e-05,0.2163849025964737,0.2782849967479706,0.2783033847808838,-0.0005277563468553126,0.02722228318452835,0.0320519357919693,-0.00013616669457405806,0.0012673322344198823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.799419108778238e-06,-1.8207065295428038e-06,5.913199856877327e-06,4.53233951702714e-06,100.01277160644531,0.00247347354888916,0.009528756141662598
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015332620590925217,0.00018544679915066808,0.027524370700120926,0.16299118101596832,0.02390523999929428,0.198287695646286,0.0005131380166858435,0.007557414937764406,0.0012028063647449017,0.0024486947804689407,0.01637396030128002,3.882098098983988e-05,0.0001440703053958714,0.014565365388989449,0.012689027935266495,0.1089693158864975,0.11904247105121613,-3.4680346288951114e-05,0.006925368215888739,-0.0001088202407117933,0.00010050337732536718,-0.0003418935230001807,-8.243937372753862e-06,0.31044965982437134,0.30284395813941956,0.06638128310441971,0.07078114151954651,1.8551945402123238e-07,-4.7369896492455155e-05,0.22136618196964264,0.28218334913253784,0.28220874071121216,-0.0006309601594693959,0.02764151059091091,0.03228183090686798,-0.00013896930613555014,0.001172287855297327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.419788744300604e-06,-2.2323511075228453e-06,6.526941433548927e-06,3.957189619541168e-06,100.0096435546875,0.002850651741027832,0.009796738624572754
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016150614246726036,0.00018531335808802396,0.028154468163847923,0.17414264380931854,0.024561578407883644,0.199886754155159,0.0005549435154534876,0.0076465485617518425,0.0010542306117713451,0.0006668234127573669,0.011837179772555828,7.700759306317195e-05,0.00012882641749456525,0.015498530119657516,0.013436301611363888,0.11142009496688843,0.12140680104494095,-5.469171446748078e-05,0.00684319157153368,-0.00012760315439663827,7.594328053528443e-05,-0.0003407098993193358,-1.5217829059110954e-05,0.32438793778419495,0.31561222672462463,0.06541750580072403,0.0695636197924614,1.0360330634284765e-05,-4.2597948777256534e-05,0.22785726189613342,0.2856912314891815,0.28570127487182617,-0.0007598006632179022,0.028168441727757454,0.03278548642992973,-0.00014883984113112092,0.0007665160810574889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0151290856301785e-06,-2.4261826183646917e-06,3.948574885725975e-06,4.2697356548160315e-06,99.99805450439453,0.0003896951675415039,0.00680387020111084
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01740580052137375,0.0001852668501669541,0.028983373194932938,0.18977226316928864,0.026590704917907715,0.20480692386627197,0.0005484180292114615,0.007251833099871874,0.001090693287551403,4.988163709640503e-05,0.007447964046150446,0.0024211329873651266,0.0003169011324644089,0.01581611856818199,0.01370396837592125,0.11385014653205872,0.12358502298593521,2.0893290297863132e-07,0.007097306195646524,-3.828290937235579e-05,0.0001223586150445044,-0.00030214927392080426,-3.986824140156386e-06,0.3409622311592102,0.33029162883758545,0.06527206301689148,0.06972028315067291,3.8100333767943084e-05,-1.3153255167708267e-05,0.23518064618110657,0.2886791527271271,0.28867605328559875,-0.000754160457290709,0.028062080964446068,0.03252869471907616,-2.4334080080734566e-05,0.0006115702562965453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.547605153173208e-06,-1.7552520148456097e-06,2.1813903003931046e-06,5.86255919188261e-06,99.95834350585938,0.0007935762405395508,0.00627291202545166
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01846618950366974,0.0001851727138273418,0.02980622835457325,0.1961212307214737,0.027000267058610916,0.21103206276893616,0.0005696959560737014,0.007587355561554432,0.0014694505371153355,-5.404621333582327e-05,0.004836417268961668,0.0017338533652946353,0.00014994494267739356,0.016486991196870804,0.014181016944348812,0.11540928483009338,0.12544511258602142,2.131911060132552e-05,0.007189997471868992,-3.559742253855802e-05,9.75660586846061e-05,-0.0003059934824705124,-5.048321690992452e-05,0.34717461466789246,0.33608925342559814,0.06394194811582565,0.06864090263843536,2.2180527594173327e-05,-7.838309102226049e-06,0.23795582354068756,0.2907364070415497,0.29072991013526917,-0.0008791264845058322,0.02756374143064022,0.031595829874277115,-3.3289081329712644e-05,0.0005017999792471528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.827933248132467e-06,-1.945620169863105e-06,1.9513536244630814e-06,6.955087883397937e-06,99.98739624023438,0.001408696174621582,0.008504748344421387
